"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"RAMANATHAPURAM","0.0880410858400587%","0.029347028613352897%","99.8826118855466%","21.946033142689544%","72.59862149875349%","5.455345358556973%","85.69752950663441%","13.452092955061946%","0.8503775383036434%","0.26443367122080214%","0.0954899368297341%","99.64007639194946%","4.331519341079571%","95.66848065892043%","5.380934854619065%","94.33934486566065%","0.27972027972027974%"
"TIRUCHIRAPPALLI","0%","0.8235875473562839%","99.17641245264372%","53.6687803672898%","15.712756320513876%","30.618463312196326%","65.85426101276245%","34.07986825854261%","0.06587072869493618%","1.28532586306336%","3.9795666144846336%","94.73510752245201%","2.225335860875299%","97.7746641391247%","0.4043237890915092%","95.03259344830431%","4.563082762604175%"
"VIRUDHUNAGAR","0.0840630472854641%","0.23117338003502627%","99.68476357267951%","19.648483999719907%","27.918213010293396%","52.43330298998669%","64.75857242827152%","26.69699090272918%","8.5444366689993%","5.9694163860830525%","18.92536475869809%","75.10521885521885%","1.7972479640550407%","98.20275203594495%","2.2187786152003945%","84.74325561738395%","13.03796576741565%"
"SIVAGANGA","0%","0.3626293927605987%","99.6373706072394%","24.077490774907748%","41.400896151818664%","34.52161307327359%","49.06194457244421%","49.23309854519123%","1.704956882364558%","0.5895601483836778%","3.265765765765766%","96.14467408585055%","3.16388668255229%","96.83611331744771%","6.318444282206146%","88.829893143957%","4.851662573836862%"
"PERAMBALUR","0.033630401883302505%","0%","99.9663695981167%","0.15126050420168066%","64.58823529411765%","35.260504201680675%","49.529411764705884%","48.6890756302521%","1.781512605042017%","0.06723819129265422%","1.7650025214321734%","98.16775928727517%","0.6220578345662408%","99.37794216543377%","0.03363605785401951%","93.91187352842248%","6.054490413723512%"
"KANCHIPURAM","0.028169014084507043%","0.2676056338028169%","99.70422535211267%","24.788732394366196%","55.40845070422535%","19.802816901408452%","25.028169014084508%","71.87323943661971%","3.0985915492957745%","0.23947034793632907%","0.08451894633046908%","99.6760107057332%","0.014084507042253521%","99.98591549295774%","2.535211267605634%","97.05633802816901%","0.4084507042253521%"
"ERODE","0.034215328467153285%","0.35355839416058393%","99.61222627737226%","0.6500912408759124%","78.60401459854015%","20.74589416058394%","84.78905359179019%","14.971493728620297%","0.2394526795895097%","0.4336414469930389%","17.66518315645327%","81.9011753965537%","4.762448606669712%","95.23755139333029%","1.131557892330552%","96.74248485541204%","2.125957252257401%"
"Ariyalur","0.08181074447777474%","0%","99.91818925552222%","4.140561154998638%","94.97412149278126%","0.8853173522201035%","0.054451402123604685%","99.22406751973864%","0.7214810781377621%","0.08200082000820008%","0.4100041000410004%","99.5079950799508%","0.1374003847210772%","99.86259961527892%","0.18146286990508095%","99.77666108319374%","0.04187604690117253%"
"KANNIYAKUMARI","0.0984898227183191%","1.0177281680892973%","98.88378200919239%","86.90944881889764%","9.744094488188976%","3.3464566929133857%","23.556430446194227%","46.48950131233596%","29.954068241469816%","0.23018743834265046%","7.957908582703058%","91.81190397895429%","0.03293807641633729%","99.96706192358366%","27.24867724867725%","71.85846560846561%","0.8928571428571429%"
"CUDDALORE","0%","0.019753086419753086%","99.98024691358025%","68.53333333333333%","30.562962962962963%","0.9037037037037037%","17.42222222222222%","72.09876543209876%","10.479012345679012%","0.6765432098765433%","1.7728395061728395%","97.55061728395061%","4.3654320987654325%","95.63456790123456%","1.180246913580247%","94.32592592592593%","4.493827160493828%"
"Tirupathur","0.03305785123966942%","0.2644628099173554%","99.70247933884298%","51.68595041322314%","41.30578512396694%","7.008264462809917%","36.95867768595041%","52.03305785123967%","11.008264462809917%","0.09917355371900827%","4.925619834710743%","94.97520661157024%","1.9008264462809918%","98.09917355371901%","0.4628099173553719%","94.21487603305785%","5.322314049586777%"
"VELLORE","0.09273979862215156%","0.06624271330153683%","99.84101748807632%","14.119205298013245%","31.642384105960264%","54.23841059602649%","33.28476821192053%","48.913907284768214%","17.801324503311257%","9.0559533280297%","31.3179527976664%","59.6260938743039%","3.605514316012725%","96.39448568398727%","2.1868787276341948%","86.4546056991385%","11.358515573227303%"
"TIRUNELVELI","0.20512820512820512%","6.666666666666667%","93.12820512820512%","40.75213675213675%","33.94871794871795%","25.299145299145298%","46.52991452991453%","38.87179487179487%","14.598290598290598%","11.658119658119658%","35.965811965811966%","52.376068376068375%","1.5726495726495726%","98.42735042735043%","4.581196581196581%","87.65811965811966%","7.760683760683761%"
"THANJAVUR","0.03382786449523994%","0.7683757792490215%","99.19779635625574%","27.57054503285659%","33.83262466177039%","38.59683030537302%","32.22222222222222%","47.36231884057971%","20.415458937198068%","9.709066305818673%","20.29286680842838%","69.99806688575295%","1.213381030648748%","98.78661896935125%","1.0210006774412077%","97.12571373270106%","1.8532855898577374%"
"THENI","0.25328114206769514%","0.11512779184895233%","99.63159106608336%","38.13032466037301%","52.26801749942436%","9.601657840202625%","78.92314772204325%","20.846755637367693%","0.2300966405890474%","1.2237358577695683%","2.6090972061879474%","96.16716693604249%","1.4770366951303946%","98.5229633048696%","2.0751671662439475%","92.92137422181231%","5.00345861194374%"
"TUTICORIN","0%","0.006688963210702341%","99.9933110367893%","19.86622073578595%","71.23745819397993%","8.896321070234114%","85.89966555183946%","7.665551839464883%","6.434782608695652%","0.3746320578003746%","3.5054856837035056%","96.11988225849612%","3.217821782178218%","96.78217821782178%","1.5387703218037063%","85.64260386699672%","12.818625811199572%"
"SALEM","0.033373381391002536%","0.3671071953010279%","99.59951942330797%","22.477309129738387%","44.25387079551522%","33.268820074746394%","57.84065127452289%","38.589350060056056%","3.5699986654210596%","0.07350484463748747%","0.5345806882726362%","99.39191446708988%","2.172024326672459%","97.82797567332754%","0.160481444332999%","93.33333333333333%","6.506185222333667%"
"NAMAKKAL","0.033481208671633046%","0.4017745040595965%","99.56474428726877%","46.332272651147214%","33.244012728186235%","20.423714620666555%","82.82270215971873%","14.691109994977399%","2.4861878453038675%","2.386934673366834%","11.02177554438861%","86.59128978224456%","1.5835777126099706%","98.41642228739003%","2.985825715004613%","77.48888702507759%","19.525287259917807%"
"DINDIGUL","0.1903807615230461%","1.9739478957915833%","97.83567134268537%","14.454454454454455%","41.42142142142142%","44.12412412412412%","70.95195285186296%","27.959244830686245%","1.0888023174508041%","0.3213174013455166%","0.431770258058038%","99.24691234059645%","1.6135538523598225%","98.38644614764017%","2.2862923621648963%","94.68892261001517%","3.024785027819929%"
