"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"EAST GODAVARI","0.09676795045480936%","21.043803625572544%","78.85942842397264%","2.174053286884717%","23.77265982839817%","74.05328688471711%","2.9417456938262045%","56.29959357460809%","40.758660731565705%","2.0708341397329204%","38.48138829752919%","59.44777756273789%","0.08386555706083479%","99.91613444293917%","0.006451196696987291%","99.98709760660603%","0.006451196696987291%"
"SRIKAKULAM","0.16239158516331426%","20.32478317032663%","79.51282524451005%","16.725755225644434%","81.88935667331413%","1.3848881010414358%","76.14794035139525%","21.97327624390964%","1.8787834046951128%","28.8693662101805%","41.94012771769222%","29.190506072127274%","1.568497195157957%","98.43150280484204%","0.9632418069087688%","99.00354295837023%","0.033215234720992026%"
"Eluru","0%","0.7232142857142857%","99.27678571428571%","74.5%","11.540178571428571%","13.959821428571429%","35.607142857142854%","39.857142857142854%","24.535714285714285%","6.401785714285714%","11.473214285714286%","82.125%","2.2098214285714284%","97.79017857142857%","1.7946428571428572%","96.99107142857143%","1.2142857142857142%"
"ANANTAPUR","0.0268802752540186%","5.811515509918822%","94.16160421482716%","76.23938057855683%","21.109796752338962%","2.6508226691042047%","66.22755134960748%","30.761372190558124%","3.0110764598343907%","0.5376344086021505%","9.67741935483871%","89.78494623655914%","0.7580237621633246%","99.24197623783668%","0.08063215610385421%","99.20442939310864%","0.7149384507875074%"
"Parvathipuram Manyam","0.13280212483399734%","29.73205218342317%","70.13514569174284%","64.65119912506836%","22.443559096945553%","12.905241777986095%","24.37309585188657%","35.981563940317166%","39.645340207796266%","38.44230919459417%","43.85594875400359%","17.701742051402235%","0.1562744178777934%","99.8437255821222%","1.351456917428326%","97.0939770330443%","1.5545660495273808%"
"VIZIANAGARAM","0.03302665723047889%","6.237320122670441%","93.72965322009908%","64.85657671258728%","31.1237969428194%","4.01962634459332%","78.99702788130396%","19.917912912204557%","1.0850592064914846%","2.8642884107210267%","17.681200453001132%","79.45451113627784%","0.0047196526335661695%","99.99528034736643%","0.04248088360237893%","99.95751911639762%","0%"
"NTR","0.008903926631644556%","5.983438696465141%","94.00765737690321%","38.01424755120214%","22.920747996438113%","39.06500445235975%","55.738580714094915%","35.838304692369334%","8.423114593535749%","12.073724512510017%","14.201762977473066%","73.72451251001692%","3.1347404043102682%","96.86525959568974%","0.2315227070347284%","40.8726625111309%","58.895814781834375%"
"Bapatla","0.005813953488372093%","17.83139534883721%","82.16279069767442%","0.7850206431354306%","70.69256265627726%","28.52241670058731%","82.66279069767442%","15.813953488372093%","1.5232558139534884%","1.6453488372093024%","31.13372093023256%","67.22093023255815%","7.087209302325581%","92.91279069767442%","0.36046511627906974%","97.59302325581395%","2.046511627906977%"
"GUNTUR","0.8256029684601113%","9.730983302411873%","89.44341372912801%","91.4826498422713%","6.457598812395621%","2.059751345333086%","82.6086956521739%","12.858069898952444%","4.533234448873644%","72.55939123979213%","19.042316258351892%","8.398292501855977%","7.037521000560015%","92.96247899943998%","0.1672085462145843%","93.14444960520204%","6.688341848583372%"
"WEST GODAVARI","0.024472315692872438%","30.29060874885286%","69.68491893545426%","34.26526367306987%","53.493209347852684%","12.24152697907745%","44.66731898238748%","52.170988258317024%","3.161692759295499%","28.415434635911907%","35.48248573707134%","36.10207962701675%","72.85389949070381%","27.14610050929619%","0.6380759555800969%","99.30670593287931%","0.05521811154058531%"
