"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"NAMSAI","2.047602380119006%","45.92229611480574%","52.03010150507525%","50.00984445757039%","33.943689702697384%","16.04646583973223%","29.503968253968253%","20.1984126984127%","50.29761904761905%","18.859342197340798%","17.722183344996502%","63.418474457662704%","2.943969610636277%","97.05603038936373%","34.1147655703289%","65.55283414975507%","0.33240027991602517%"
"KURUNG KUMEY","0.02501876407305479%","99.2744558418814%","0.7005253940455342%","0.15003750937734434%","99.04976244061015%","0.8002000500125032%","0.05001250312578145%","99.09977494373594%","0.8502125531382846%","0.25037556334501754%","95.99399098647972%","3.755633450175263%","1.0017530678687703%","98.99824693213122%","19.714070729872084%","80.28592927012791%","0%"
"KRA DAADI","0.11438375750643409%","99.54246496997426%","0.3431512725193023%","0.08578781812982557%","99.85702030311695%","0.057191878753217046%","0.08578781812982557%","97.34057763797541%","2.5736345438947668%","1.0885133199656258%","95.50272128329992%","3.40876539673446%","0%","100%","14.65863453815261%","85.34136546184739%","0%"
"PAPUM PARE","0.0429000429000429%","99.58529958529958%","0.3718003718003718%","0.15725518227305219%","99.68548963545389%","0.15725518227305219%","0.028583678719451194%","99.01386308417894%","0.957553237101615%","2.0606754436176304%","96.40812821980538%","1.5311963365769892%","0.42955326460481097%","99.5704467353952%","16.303412675652424%","83.69658732434758%","0%"
"PAKKE KESSANG","36.506575185820466%","45.483133218982275%","18.010291595197256%","1.2578616352201257%","81.33218982275586%","17.409948542024015%","57.38782509288368%","39.35410117176336%","3.258073735352958%","63.52974828375286%","20.394736842105264%","16.075514874141877%","12.650257584430452%","87.34974241556955%","69.87363584147042%","30.12636415852958%","0%"
"EAST SIANG","80.57571964956195%","18.773466833541928%","0.6508135168961201%","28.607214428857716%","66.85871743486975%","4.534068136272545%","5.836673346693387%","84.06813627254509%","10.095190380761522%","89.00300601202404%","7.014028056112225%","3.9829659318637276%","0.15067805123053743%","99.84932194876946%","78.1661600810537%","21.80851063829787%","0.025329280648429583%"
"SIANG","74.87839771101574%","24.663805436337626%","0.45779685264663805%","52.300657330665906%","45.18433838239497%","2.5150042869391256%","9.688482423549585%","81.73763932552158%","8.573878250928837%","86.7621776504298%","8.051575931232092%","5.186246418338109%","0.028661507595299514%","99.9713384924047%","81.32026520611127%","18.679734793888727%","0%"
"EAST KAMENG","43.095396931287524%","40.9606404269513%","15.943962641761175%","1.200533570475767%","86.59404179635393%","12.205424633170297%","59.05756834852189%","39.03089575461214%","1.9115358968659701%","67.16384683882458%","17.853962600178093%","14.982190560997328%","18.43102295520392%","81.56897704479607%","57.42441209406495%","42.57558790593505%","0%"
"LOWER SIANG","70.18807523009204%","29.21168467386955%","0.6002400960384153%","40.57623049219688%","54.98199279711885%","4.441776710684274%","5.244195356285028%","81.42514011208968%","13.3306645316253%","81.1124449779912%","11.484593837535014%","7.4029611844737895%","0.04006410256410257%","99.9599358974359%","85.47868061142397%","14.440868865647627%","0.08045052292839903%"
"LOWER DIBANG VALLEY","0.5645407384803174%","80.88190418065304%","18.553555080866648%","26.469085334695965%","8.771929824561404%","64.75898484074263%","15.1987529228371%","39.36087295401403%","45.44037412314887%","23.588648153799205%","49.22184925236497%","27.189502593835826%","6.667683857186451%","93.33231614281355%","64.5712541959109%","35.428745804089104%","0%"
