"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"DHUBRI","25.909366716699136%","72.84514418931434%","1.245489093986523%","38.88267799533651%","36.97575622065353%","24.141565784009966%","4.753070624360286%","55.64866939611054%","39.59825997952917%","37.14112349503401%","24.606393510682466%","38.252482994283525%","0.11496822406029444%","99.88503177593971%","16.826877015935874%","83.17312298406412%","0%"
"NAGAON","19.161862637908758%","80.0429877745751%","0.7951495875161515%","55.434350462180696%","32.27934598946427%","12.286303548355034%","6.561226518238744%","57.073104065202266%","36.36566941655899%","24.298032004770896%","13.65917900805089%","62.04278898717821%","0.0012424212304939866%","99.9987575787695%","12.68387834211311%","87.3161216578869%","0%"
"SONITPUR","63.51334817823672%","34.76399050578706%","1.7226613159762156%","64.68054909829446%","25.15232339051068%","10.167127511194852%","8.515428096018793%","53.43186434042137%","38.05270756355984%","69.45701911077397%","12.462377957765435%","18.080602931460593%","0.0024470219742573286%","99.99755297802574%","81.02625590329606%","18.973744096703943%","0%"
"UDALGURI","31.21822294891034%","67.56333012296459%","1.21844692812507%","84.89260196653751%","11.270634085156898%","3.836763948305597%","7.62873205366542%","59.379129616771564%","32.99213832956302%","44.41059869644097%","25.35444710730844%","30.234954196250587%","0.37629350893697083%","99.62370649106303%","50.94631218222949%","49.05368781777051%","0%"
"MARIGAON","52.83351003180572%","43.459822768098256%","3.7066672000960175%","75.3435618411314%","14.75665619811566%","9.899781960752936%","14.992698685763438%","39.27306915244744%","45.73423216178912%","59.30667520153628%","17.19309475705627%","23.500230041407452%","0.07001400280056011%","99.92998599719944%","26.094697045468184%","73.90530295453182%","0%"
"KARBI ANGLONG","23.893923240938165%","75.2132196162047%","0.8928571428571429%","39.97867803837953%","35.45442430703625%","24.56689765458422%","5.9768123667377395%","65.8382196162047%","28.18496801705757%","40.8182302771855%","31.59648187633262%","27.585287846481876%","0.03997867803837953%","99.96002132196162%","24.14712153518124%","75.85287846481876%","0%"
"BONGAIGAON","41.380344871923086%","56.5109933282855%","2.1086617997914194%","45.771961655499524%","34.667200022858125%","19.560838321642358%","6.220266582853551%","47.71204480192008%","46.067688615226366%","46.066259982570685%","11.907653185136505%","42.02608683229281%","0.07714616340700316%","99.92285383659299%","17.157878194779776%","82.83926453990885%","0.0028572653113704874%"
"Biswanath","51.77889642761606%","45.06942924539773%","3.1516743269862113%","57.07789207460908%","26.025631672381508%","16.89647625300941%","5.600544733834294%","45.40016050193332%","48.99929476423239%","60.839960117701416%","19.13863962452275%","20.02140025777583%","0.17022932321684783%","99.82977067678316%","74.26375817708713%","25.736241822912866%","0%"
"HAILAKANDI","47.611607142857146%","50.87691326530612%","1.5114795918367347%","70.80038265306122%","20.37627551020408%","8.823341836734693%","14.142219387755102%","67.45535714285714%","18.402423469387756%","59.818239795918366%","20.768494897959183%","19.413265306122447%","0.26466836734693877%","99.73533163265306%","56.01084183673469%","43.98915816326531%","0%"
"BARPETA","56.95901801623441%","43.04098198376559%","0%","79.70698871510592%","14.967333201346268%","5.325678083547812%","4.0586022569788165%","68.26371015640467%","27.67768758661651%","66.75905761235398%","16.709562462878637%","16.53137992476737%","0.019798059790140567%","99.98020194020987%","51.85111859037814%","48.12908334983172%","0.019798059790140567%"
"DIMA HASAO","75.40170601071216%","23.586589962309066%","1.011704026978774%","71.21602856576077%","24.7768299940488%","4.007141440190439%","17.992461813132316%","67.82384447530252%","14.183693711565166%","83.594524895854%","12.953779012100775%","3.4516960920452293%","0.41658401110890697%","99.58341598889109%","48.62130529656814%","51.35885736956953%","0.0198373338623289%"
"TAMULPUR","36.00597609561753%","63.99402390438247%","0%","68.12749003984064%","30.47808764940239%","1.3944223107569722%","2.539840637450199%","72.21115537848605%","25.249003984063744%","53.98406374501992%","35.20916334661354%","10.806772908366534%","0%","100%","42.430278884462155%","57.569721115537845%","0%"
"DARRANG","46.43357109526032%","51.83654423038464%","1.729884674355043%","74.8583427771482%","20.231984534364376%","4.909672688487434%","15.018998733417773%","41.247250183321114%","43.73375108326112%","50.22331844543697%","10.019332044530366%","39.75734951003266%","0.006666222251849876%","99.99333377774815%","34.57769482034531%","65.42230517965469%","0%"
"CACHAR","53.39674606008058%","44.65497016371704%","1.9482837762023768%","54.875809659815374%","29.175804559596063%","15.948385780588564%","11.592798490335085%","58.6168205232825%","29.790380986382413%","62.65364410669659%","18.483194777375427%","18.863161115927984%","0.1428097824700992%","99.8571902175299%","64.61467843117254%","35.38532156882746%","0%"
"DHEMAJI","47.30714285714286%","50.43214285714286%","2.2607142857142857%","65.97142857142858%","22.7%","11.32857142857143%","9.057142857142857%","41.06785714285714%","49.875%","55.417857142857144%","18.95357142857143%","25.62857142857143%","0.17142857142857143%","99.82857142857142%","74%","26%","0%"
"SOUTH SALMARA MANCACHAR","23.494302767227346%","75.31199131850244%","1.1937059142702116%","30.520889853499728%","29.272924579489963%","40.20618556701031%","1.87194791101465%","39.03960933260988%","59.08844275637547%","27.42810634834509%","14.839934888768312%","57.7319587628866%","0.05425935973955507%","99.94574064026044%","20.103092783505154%","79.89690721649484%","0%"
"BAKSA","34.13399269987048%","59.755092429059225%","6.110914871070293%","51.089132226539505%","27.55210173083716%","21.358766042623337%","3.40280230778288%","50.6063817261274%","45.99081596608972%","42.493818438714236%","19.86341693159072%","37.642764629695044%","0%","100%","64.2764629695043%","35.723537030495706%","0%"
"GOALPARA","37.30858157691921%","61.853701035418695%","0.8377173876620984%","51.58998760178266%","30.01373856515766%","18.39627383305968%","5.227356499011494%","46.67091110143082%","48.10173239955768%","45.31380893341822%","24.702610327379954%","29.983580739201823%","0.2546660858492779%","99.74533391415072%","46.808296753007404%","53.191703246992596%","0%"
"WEST KARBI ANGLONG","22.142496210207174%","77.55432036382011%","0.30318342597271347%","35.229914098029305%","45.66953006568974%","19.10055583628095%","7.832238504295098%","67.11470439615968%","25.053057099545224%","37.26124305204649%","30.692268822637697%","32.04648812531582%","0.01010611419909045%","99.98989388580091%","69.67155128852956%","30.32844871147044%","0%"
"NALBARI","55.64629024731685%","40.5239650689954%","3.8297446836877542%","63.47576828211452%","24.085060995933606%","12.43917072195187%","10.969268715418972%","56.00626624891674%","33.02446503566429%","67.21885207652824%","20.291980534631026%","12.489167388840745%","0.26998200119992%","99.73001799880008%","30.834611025931604%","69.16538897406839%","0%"
"GOLAGHAT","32.64874186721016%","65.4503409892608%","1.9009171435290428%","49.84322332836874%","35.59614329387787%","14.56063337775339%","9.222387708708943%","42.87450027435918%","47.90311201693188%","44.34036215411147%","24.508113192756916%","31.151524653131613%","0.03135533432625225%","99.96864466567375%","27.38104570039978%","72.61895429960022%","0%"
"HOJAI","33.59759157049674%","64.17461113898645%","2.2277972905168086%","55.71165746780398%","27.586552935273456%","16.701789596922563%","8.171935106205051%","54.42047165077772%","37.407593243017224%","38.387690249205555%","12.28968054858672%","49.32262920220773%","0.13714668004683056%","99.86285331995317%","26.820538551597256%","73.17946144840275%","0%"
"KARIMGANJ","47.332152756390514%","50.78534031413613%","1.88250692947336%","47.53233754234678%","35.59824453341546%","16.86941792423776%","19.595010779180782%","60.00153988296889%","20.403449337850322%","61.71465968586387%","23.017400677548505%","15.26793963658762%","0.18093624884508777%","99.81906375115491%","38.1429011395134%","61.8570988604866%","0%"
"JORHAT","43.65911493300574%","54.53532554352484%","1.8055595234694168%","39.87658200725652%","39.45090420821072%","20.672513784532754%","4.6110333399994285%","40.11370453961089%","55.275262120389684%","52.541210753364%","21.07247950175699%","26.38630974487901%","0.18855526669142644%","99.81144473330858%","28.18615547238808%","71.81384452761192%","0%"
"KAMRUP","64.4929650158203%","32.27789870520387%","3.2291362789758318%","53.8540942037116%","31.119987433521082%","15.025918362767317%","10.124991584947153%","63.103920292619435%","26.771088122433408%","71.93411574624689%","12.140116239929986%","15.925768013823127%","0.32762605749164103%","99.67237394250836%","34.0820860355003%","65.9179139644997%","0%"
"LAKHIMPUR","46.93555555555555%","50.528888888888886%","2.5355555555555553%","74.96444444444444%","20.19333333333333%","4.842222222222222%","10.293333333333333%","33.76888888888889%","55.937777777777775%","59.07111111111111%","21.235555555555557%","19.69333333333333%","0.07555555555555556%","99.92444444444445%","57.324444444444445%","42.675555555555555%","0%"
"DIBRUGARH","40.9544235924933%","56.62913315460232%","2.416443252904379%","55.10634495084897%","31.68543342269884%","13.20822162645219%","9.058087578194817%","51.45308310991957%","39.48882931188561%","48.42537980339589%","17.08668453976765%","34.48793565683646%","0.11796246648793565%","99.88203753351206%","49.43699731903485%","50.56300268096515%","0%"
"KOKRAJHAR","31.302152494303186%","66.73060214101871%","1.9672453646781094%","76.93732684142363%","18.516696995032706%","4.545976163543664%","6.660203109080751%","42.754790153482105%","50.58500673743715%","41.5137953081198%","20.8806701749209%","37.605534516959295%","0.02131182478401285%","99.97868817521599%","42.80889850653289%","57.19110149346711%","0%"
"KAMRUP METRO","21.528545119705342%","75.23020257826887%","3.241252302025783%","63.07550644567219%","23.259668508287294%","13.664825046040516%","10.718232044198896%","40.44198895027624%","48.83977900552486%","33.462246777163905%","26.243093922651934%","40.294659300184165%","0.09208103130755065%","99.90791896869244%","10.865561694290976%","89.13443830570903%","0%"
"TINSUKIA","31.99411764705882%","65.6735294117647%","2.3323529411764707%","72.47647058823529%","18.938235294117646%","8.58529411764706%","3.9970588235294118%","29.58823529411765%","66.41470588235295%","34.82058823529412%","5.035294117647059%","60.14411764705882%","0.1147160043533253%","99.88528399564667%","27.4%","72.6%","0%"
"CHIRANG","53.61474036850921%","44.37520938023451%","2.0100502512562812%","72.77051926298158%","18.613065326633166%","8.61641541038526%","5.11892797319933%","51.551088777219434%","43.32998324958124%","62.22445561139028%","17.293132328308207%","20.482412060301506%","0.11390284757118928%","99.88609715242882%","45.460636515912896%","54.539363484087104%","0%"
"CHARAIDEO","46.090225563909776%","51.18421052631579%","2.725563909774436%","63.30827067669173%","27.5%","9.191729323308271%","6.823308270676692%","37.38721804511278%","55.78947368421053%","53.45864661654135%","14.24812030075188%","32.29323308270677%","0.07518796992481203%","99.92481203007519%","71.14661654135338%","28.853383458646615%","0%"
"SIVASAGAR","45.93286269989915%","52.5889641262066%","1.4781731738942516%","43.59314219853047%","37.13585938625558%","19.270998415213946%","11.917591125198099%","58.18469961100706%","29.89770926379484%","56.64889785333526%","20.100850021610718%","23.250252125054025%","0.4062932226832642%","99.59370677731674%","57.96282956346348%","42.03717043653652%","0%"
"BAJALI","32.90264423076923%","66.015625%","1.0817307692307692%","36.438301282051285%","37.72035256410256%","25.841346153846153%","4.61738782051282%","27.654246794871796%","67.72836538461539%","44.39102564102564%","19.401041666666668%","36.20793269230769%","0.13020833333333334%","99.86979166666667%","46.404246794871796%","53.595753205128204%","0%"
