"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"PASHCHIM CHAMPARAN","0.02977785718539694%","2.578762432255375%","97.39145971055923%","67.55357142857143%","32.30357142857143%","0.14285714285714285%","0.9167758066436481%","96.3328967734254%","2.750327419930944%","26.662281750777325%","33.448935661325045%","39.88878258789763%","0.173072332298878%","99.82692766770113%","0.017866714311238163%","99.25555357036508%","0.7265797153236853%"
"GAYA","3.4625300026669037%","92.55489376833496%","3.9825762289981332%","85.07489221743188%","14.538423929952442%","0.3866838526156718%","31.00888888888889%","67.75111111111111%","1.24%","12.054246331702979%","76.80302356602935%","11.142730102267674%","0.17778567936352727%","99.82221432063648%","0.41333333333333333%","99.1511111111111%","0.43555555555555553%"
"SAMASTIPUR","0.04279676884395228%","0.6259027443428021%","99.33130048681325%","80.66224457045041%","19.161228201561997%","0.1765272279875896%","6.420202236370446%","93.01803006794714%","0.561767695682414%","17.423634515594074%","61.44546086770449%","21.13090461670144%","0.10164232600438666%","99.89835767399562%","0.032094142818935543%","99.48114469109387%","0.4867611660871891%"
"SHEIKHPURA","0.08928571428571429%","0.125%","99.78571428571429%","99.19642857142857%","0.7142857142857143%","0.08928571428571429%","36.4172173602429%","63.47562064654402%","0.10716199321307376%","15.107142857142858%","83.5%","1.3928571428571428%","0.2857142857142857%","99.71428571428571%","0.14295925661186562%","99.83917083631165%","0.017869907076483203%"
"MADHEPURA","0.6557914583162554%","82.75268464628249%","16.591523895401263%","97.97540983606558%","1.9836065573770492%","0.040983606557377046%","29.442622950819672%","47.33606557377049%","23.221311475409838%","61.54602836298057%","30.666448069513894%","7.787523567505533%","3.6557377049180326%","96.34426229508196%","12.279695056971883%","87.68751537011231%","0.03278957291581277%"
"MUZAFFARPUR","0.013340448239060833%","0.28014941302027746%","99.70651013874067%","96.40570818885035%","3.494265137369965%","0.10002667377967459%","14.24379834622566%","82.9487863430248%","2.807415310749533%","20.03867698052814%","65.86423046145639%","14.09709255801547%","0.5868231528407576%","99.41317684715925%","0.020004000800160033%","88.51770354070814%","11.462292458491698%"
"NALANDA","8.808899823501097%","74.53602182168262%","16.65507835481628%","61.77996470021929%","36.54062149007862%","1.6794138097020912%","36.210954214805305%","57.632648694908%","6.156397090286692%","21.57030539658769%","47.83120286677007%","30.59849173664224%","2.6419937961279283%","97.35800620387207%","0.12835597390095196%","99.79142154241096%","0.08022248368809498%"
"SARAN","0%","0.679144385026738%","99.32085561497327%","93.6470588235294%","6.213903743315508%","0.13903743315508021%","5.566844919786096%","94.03743315508021%","0.39572192513368987%","12.358288770053475%","81.96791443850267%","5.67379679144385%","0.93048128342246%","99.06951871657753%","0.026737967914438502%","99.44385026737967%","0.5294117647058824%"
"GOPALGANJ","0.053443273782256835%","0.2595816155138189%","99.68697511070393%","79.5543303468872%","18.77632284248411%","1.6693468106286853%","2.7947932618683002%","96.6385911179173%","0.5666156202143952%","23.720788147243013%","63.75439132427066%","12.52482052848633%","0.19091256204658266%","99.80908743795342%","0.12981062919975564%","97.41142333536958%","2.4587660354306657%"
"ROHTAS","0.08427439743805831%","93.06140794426653%","6.85431765829541%","98.91560849533656%","0.7191819305539948%","0.3652095741094505%","15.817272574029332%","80.84508625049166%","3.337641175479013%","9.050028105677347%","79.96065205171445%","10.989319842608207%","0.011238480557428635%","99.98876151944258%","0.19102196752626552%","99.78088656666105%","0.028091465812686105%"
