"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"JUNAGADH","0.049342105263157895%","19.714912280701753%","80.23574561403508%","68.35096180194004%","23.620321148681974%","8.02871704937798%","66.68857127210997%","26.4607633754997%","6.85066535239034%","29.291710100400504%","39.61705162670763%","31.091238272891864%","7.756537024829708%","92.24346297517029%","0.03851232394366197%","99.75792253521126%","0.20356514084507044%"
"DOHAD","0%","20.627341209401884%","79.37265879059811%","59.8155847363438%","28.99600708022887%","11.188408183427324%","39.43934466718808%","47.20289795414317%","13.357757378668753%","18.108096982669906%","48.059111678261225%","33.83279133906887%","38.29909850574239%","61.70090149425761%","0.47752346451506666%","99.50601020912235%","0.016466326362588508%"
"SURENDRANAGAR","0.6870983687592684%","20.98368759268413%","78.3292140385566%","55.55610479485912%","37.61245674740484%","6.831438457736035%","58.4330202669303%","38.76421156697973%","2.8027681660899653%","11.552721340649562%","33.65959760739533%","54.78768105195511%","5.497330433063081%","94.50266956693692%","0%","99.5303771812744%","0.469622818725592%"
"NARMADA","0.0055747574980488344%","37.60173932433939%","62.39268591816256%","61.36616893247159%","9.276799643414307%","29.35703142411411%","53.69101342693186%","27.316285029806675%","18.992701543261465%","69.2681021979248%","21.493919446613855%","9.23797835546134%","0.5359834738428898%","99.46401652615711%","0.4865771812080537%","99.45190156599553%","0.06152125279642058%"
"PATAN","0.005470160275696078%","0.27897817406049996%","99.71555166566381%","67.73875943551033%","30.751558910403677%","1.5096816540859863%","88.32731648616125%","11.596105458921343%","0.0765780549174051%","12.898637930091352%","49.55965209780646%","37.54170997210218%","48.4301498741932%","51.5698501258068%","0%","98.89508806476316%","1.104911935236845%"
"CHHOTAUDEPUR","0.019023462270133164%","29.67977171845276%","70.3012048192771%","21.176284083703234%","33.1578947368421%","45.66582117945466%","50.37729866835764%","38.69689283449588%","10.92580849714648%","67.27330374128091%","23.820545339251744%","8.906150919467343%","1.943563728598605%","98.0564362714014%","0.0063411540900443885%","98.95370957514268%","1.0399492707672797%"
"PANCH MAHALS","0%","38.93397358943577%","61.06602641056423%","37.93517406962785%","41.12845138055222%","20.936374549819927%","29.618247298919567%","65.52220888355342%","4.859543817527011%","80.82112845138055%","15.44297719087635%","3.7358943577430974%","1.9591836734693877%","98.04081632653062%","0.01920768307322929%","99.88475390156063%","0.09603841536614646%"
"GIR SOMNATH","0.2509105625252934%","49.23512747875354%","50.51396195872117%","4.553542542866387%","87.02685215140731%","8.419605305726302%","0.4687626283035642%","74.25038390042835%","25.280853471268085%","9.351701782820097%","59.983792544570505%","30.6645056726094%","65.76246334310851%","34.23753665689149%","0.01638135801457941%","98.57482185273159%","1.4087967892538291%"
"AHMADABAD","0%","8.21637250768026%","91.78362749231974%","83.42268538039878%","9.800614420818023%","6.776700198783206%","87.59713270284922%","11.541473405216554%","0.8613938919342208%","26.233359436178542%","33.76905005722547%","39.99759050659599%","3.0961990241551716%","96.90380097584483%","0.05421686746987952%","99.1566265060241%","0.7891566265060241%"
"DANG","0.01861850679575498%","49.301805995159185%","50.679575498045054%","40.997951964252465%","27.834667659653697%","31.16738037609384%","24.045801526717558%","60.64047663377397%","15.31372183950847%","47.12344070005586%","30.51573263824241%","22.360826661701733%","1.1450381679389312%","98.85496183206106%","2.29938558927574%","97.68199590392851%","0.01861850679575498%"
"KACHCHH","3.083728479139484%","20.319511186073896%","76.59676033478662%","56.62731120516819%","31.645609903573817%","11.727078891257996%","72.52967571524043%","25.831397384081722%","1.6389269006778475%","18.770885713376405%","36.47242290188091%","44.75669138474269%","25.984277029822717%","74.01572297017728%","0.07638933095677637%","92.74301355910625%","7.180597109936979%"
"ANAND","0%","14.26984126984127%","85.73015873015873%","99.23015873015873%","0.7698412698412699%","0%","79.56349206349206%","20.246031746031747%","0.19047619047619047%","33.61904761904762%","23.738095238095237%","42.642857142857146%","3.761904761904762%","96.23809523809524%","0%","95.92063492063492%","4.079365079365079%"
"BHARUCH","0%","10.40966137816718%","89.59033862183281%","16.935827610703292%","52.45560028415818%","30.608572105138528%","48.27847501775989%","42.510063935590814%","9.211461046649301%","50.447549135685534%","35.84181861236088%","13.710632251953587%","11.560502012787119%","88.43949798721289%","0%","99.27066066777172%","0.7293393322282737%"
"KHEDA","0%","1.9540925854571476%","98.04590741454285%","81.84070017063907%","18.15929982936093%","0%","60.97319315241922%","39.01579787526834%","0.011008972312434634%","27.318764793306546%","39.94605603566907%","32.735179171024384%","9.797985358066825%","90.20201464193318%","0%","95.08449386249794%","4.9155061375020646%"
"BANAS KANTHA","0.0023100556723417032%","1.2890110651666704%","98.70867887916098%","90.36013767931807%","7.611633440365913%","2.0282288803160156%","68.22749428261221%","26.72503407332117%","5.047471644066622%","14.199912217884451%","31.93651967012405%","53.8635681119915%","10.820300769248538%","89.17969923075147%","0.03696089075746725%","96.74513155767055%","3.217907551571993%"
"ARVALLI","0%","3.2787557962985763%","96.72124420370142%","77.82428495219337%","21.843325536542327%","0.3323895112643112%","51.85276375723255%","46.49349583487217%","1.6537404078952769%","20.489146046206244%","25.918174730189996%","53.59267922360376%","17.107800894579178%","82.89219910542081%","0%","98.6540276580902%","1.3459723419098035%"
"JAMNAGAR","0.2805683772287085%","45.22581229070504%","54.49361933206625%","74.16960810933116%","25.05204090867952%","0.7783509819893203%","36.320028961897%","57.56177029595438%","6.118200742148611%","16.814559942049982%","40.16660630206447%","43.01883375588555%","30.55605868502083%","69.44394131497917%","0.3352360242819607%","96.27616200054362%","3.388601975174413%"
"DEVBHUMI DWARKA","0%","63.612830613393356%","36.387169386606644%","91.29064926296839%","8.698098345898503%","0.011252391133115788%","17.328682344998313%","80.6796444244402%","1.9916732305614944%","15.60108059432688%","50.754164790634846%","33.64475461503827%","66.28758022745187%","33.71241977254814%","0.12391573729863693%","96.49656415455672%","3.3795201081446433%"
"Mahisagar","0.009801999607920015%","20.334248186630074%","79.655949813762%","41.33993334640267%","58.30229366790825%","0.35777298568908056%","79.69025681238973%","19.873554205057832%","0.4361889825524407%","29.79161559205688%","51.00269673939691%","19.20568766854621%","8.417079268591598%","91.58292073140841%","0.004900999803960008%","95.51068417957264%","4.484414820623408%"
"MORBI","0%","49.58128078817734%","50.41871921182266%","86.1576354679803%","13.801313628899836%","0.041050903119868636%","49.252873563218394%","43.35796387520526%","7.389162561576355%","19.203612479474547%","38.489326765188835%","42.307060755336614%","0.9770114942528736%","99.02298850574712%","0%","96.72413793103448%","3.2758620689655173%"
"SABAR KANTHA","0%","0.288847768199666%","99.71115223180034%","89.4615697070903%","10.497811075506611%","0.040619217403078035%","48.23757728934422%","50.7875614929819%","0.9748612176738728%","3.0690075371214514%","40.637270388590515%","56.293722074288034%","6.187940061382921%","93.81205993861708%","0.004513246378119781%","98.60540686916099%","1.3900798844608928%"
"RAJKOT","0.04615952732644018%","13.653988183161005%","86.29985228951256%","97.46624745700018%","2.478268910671352%","0.0554836323284631%","80.87699053773368%","18.66143549503808%","0.46157396722824834%","5.386816838995569%","50.66008124076809%","43.953101920236335%","15.028848372951765%","84.97115162704823%","6.614354950380799%","92.6240480036926%","0.7615970459266097%"
"MAHESANA","0.01866193897545955%","1.9128487449846039%","98.06848931603993%","49.657773432043584%","37.93825953345439%","12.403967034502026%","32.28492997720188%","54.6363932443121%","13.078676778486019%","17.17917562389008%","31.02626413683522%","51.7945602392747%","6.298363269708765%","93.70163673029124%","0.23135033050047216%","93.61189801699717%","6.1567516525023605%"
"VADODARA","0%","12.677502138579984%","87.32249786142002%","39.15739948674081%","49.83319076133447%","11.009409751924721%","55.73139435414885%","34.09751924721984%","10.171086398631308%","49.56372968349016%","29.850299401197606%","20.58597091531223%","5.149700598802395%","94.8502994011976%","0.00427715996578272%","99.5295124037639%","0.4662104362703165%"
"TAPI","0%","18.20552947313511%","81.7944705268649%","83.0812032689967%","15.779864371413668%","1.1389323595896366%","67.82298730655538%","31.94227090940706%","0.2347417840375587%","49.92175273865415%","20.04868718483742%","30.02956007650843%","0.09563554164493132%","99.90436445835506%","0%","99.83479697417616%","0.16520302582384142%"
"BOTAD","0%","9.963262307127112%","90.03673769287289%","15.282880235121235%","61.67523879500367%","23.04188096987509%","97.67817781043351%","2.24834680382072%","0.07347538574577517%","65.93681116825863%","27.1565025716385%","6.906686260102865%","23.512123438648054%","76.48787656135195%","0%","99.8383541513593%","0.16164584864070536%"
"SURAT","0%","14.009482580911152%","85.99051741908885%","84.15996701710988%","13.543599257884972%","2.2964337250051536%","50.422593279736134%","49.43310657596372%","0.1443001443001443%","33.26324469181612%","25.31849103277675%","41.41826427540713%","9.886621315192743%","90.11337868480726%","0.03710575139146568%","99.3073593073593%","0.655534941249227%"
"GANDHINAGAR","0%","1.3887511159607182%","98.61124888403928%","98.66084713818074%","1.2597956551929372%","0.07935720662632675%","83.95674174025201%","15.705923206667329%","0.33733505308066275%","21.634758456502333%","47.55480607082631%","30.81043547267136%","4.920146810832259%","95.07985318916774%","0.04959825414145422%","99.06755282214066%","0.8828489237178851%"
"PORBANDAR","0.01839587932303164%","10.54083885209713%","89.44076526857984%","57.17439293598234%","27.26269315673289%","15.562913907284768%","94.84915378955114%","3.991905813097866%","1.1589403973509933%","49.09860191317145%","30.647534952170712%","20.253863134657838%","46.41280353200883%","53.58719646799117%","0%","99.87122884473878%","0.1287711552612215%"
