"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"AMBALA","0%","0%","0%","56.07108093942646%","38.22097985873662%","5.707939201836923%","12.122497878500473%","51.921828982179406%","35.95567313932012%","0.024958195023335912%","24.913270272293907%","75.06177153268276%","0.009983278009334365%","99.99001672199067%","0.007487458507000774%","96.66059350587766%","3.331919035615344%"
"KARNAL","0%","0%","0%","91.6583487808356%","0.15685156138599743%","8.184799657778411%","87.28076429488094%","12.34849565093398%","0.3707400541850848%","0.2851846570654499%","47.2265792100385%","52.48823613289605%","0.014259232853272494%","99.98574076714672%","0%","95.57250819905889%","4.42749180094111%"
"NUH","0%","0%","0%","75.87813690840524%","19.102809643216776%","5.0190534483779885%","20.924814405307217%","57.4158900647607%","21.65929552993208%","0.3929079134417943%","2.612146580319065%","96.99494550623913%","43.07771284157321%","56.92228715842679%","0.0039488232506713%","93.92276101721687%","6.073290159532459%"
"KAITHAL","0%","0%","0%","72.8512591992438%","24.936421128440575%","2.2123196723156213%","38.25760133234308%","28.8276731258299%","32.91472554182702%","53.568293835662686%","35.87873877523462%","10.552967389102694%","35.052776089843135%","64.94722391015686%","0%","87.2032048252425%","12.7967951747575%"
"PANCHKULA","0%","0%","0%","58.46549507072439%","37.61965995142163%","3.914844977853979%","36.79097013859123%","56.95099299899986%","6.2580368624089155%","0%","3.7291041577368196%","96.27089584226319%","0%","100%","0.014287755393627661%","99.0141448778397%","0.971567366766681%"
"REWARI","0%","0%","0%","39.83416475664015%","48.867466630713224%","11.298368612646623%","1.6044222731562627%","23.14502718978922%","75.25055053705451%","0.3999820232798526%","2.5661768010426496%","97.0338411756775%","4.988539840906027%","95.01146015909397%","0.002247090018426138%","98.33715338636466%","1.660599523616916%"
"PALWAL","0%","0%","0%","70.11624253848571%","28.84071630537229%","1.0430411561420043%","58.083568960100536%","31.05874960728872%","10.857681432610745%","0%","0.2639019792648445%","99.73609802073516%","1.36986301369863%","98.63013698630137%","0%","100%","0%"
"CHARKI DADRI","0%","0%","0%","12.320230105465004%","86.57718120805369%","1.102588686481304%","2.037392138063279%","88.20709491850431%","9.755512943432407%","0%","1.9415148609779482%","98.05848513902205%","0.023969319271332695%","99.97603068072867%","0.07190795781399809%","99.80824544582934%","0.11984659635666348%"
"KURUKSHETRA","0%","0%","0%","76.77141253889711%","20.308116104677854%","2.920471356425037%","44.34525327755956%","49.66586746926491%","5.988879253175535%","0.06886701015150742%","7.7564658470642245%","92.17466714278427%","1.4258021731367647%","98.57419782686324%","0.035708820078559404%","92.13385706269449%","7.830434117226955%"
"SIRSA","0.016231131309852296%","6.817075150137964%","93.16669371855218%","31.083026473306965%","37.859708142019365%","31.057265384673666%","56.43100704705615%","34.519966659089185%","9.049026293854665%","0.17434016039294756%","13.769840668253416%","86.05581917135363%","2.0887016097250433%","97.91129839027495%","0.03032002789442566%","97.29696951321195%","2.672710458893622%"
