"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"Budgam","3.6146576023876635%","65.59442878461283%","30.790913612999503%","68.56763925729443%","30.66976127320955%","0.7625994694960212%","16.5809981760902%","81.51218703365943%","1.9068147902503731%","62.660229731979356%","20.825703346096223%","16.51406692192442%","0.3515232674924674%","99.64847673250753%","0.4261847937265598%","99.23286737129219%","0.34094783498124787%"
"ANANTNAG","24.575766597201547%","69.1426019648705%","6.281631437927954%","27.88390345031838%","67.34784540204353%","4.768251147638087%","28.282380741397134%","61.792940481465074%","9.924678777137794%","51.19653006281783%","40.81663176787317%","7.986838169309004%","2.1154145279203607%","97.88458547207964%","0.730260155180283%","98.8589685075308%","0.4107713372889092%"
"GANDERBAL","31.752386818601785%","65.69140745303356%","2.5562057283646444%","58.20757622420696%","39.69818293809671%","2.094240837696335%","63.247073321010475%","33.364140480591495%","3.3887861983980283%","95.16029593094945%","4.315659679408138%","0.5240443896424167%","5.651636812847436%","94.34836318715256%","1.9498607242339834%","97.36923553079542%","0.6809037449705974%"
"UDHAMPUR","34.48275862068966%","57.04433497536946%","8.472906403940886%","15.877712031558186%","68.44181459566074%","15.680473372781066%","7.487684729064039%","67.0935960591133%","25.41871921182266%","49.85221674876847%","36.45320197044335%","13.694581280788178%","0.09881422924901186%","99.90118577075098%","0%","100%","0%"
"SHOPIAN","0.55396370582617%","57.688634192932184%","41.757402101241645%","7.473241590214068%","90.4434250764526%","2.0833333333333335%","21.90366972477064%","53.36391437308868%","24.732415902140673%","70.63886763580719%","25.631216526396326%","3.7299158377964803%","0.7267163893669918%","99.273283610633%","12.808730614589317%","87.05724679303083%","0.1340225923798583%"
"JAMMU","1.7713903743315509%","56.216577540106954%","42.0120320855615%","2.5692359025692357%","96.06272939606274%","1.3680347013680347%","12.545879212545879%","85.48548548548548%","1.9686353019686353%","4.7283702213279675%","33.266264252179745%","62.005365526492284%","0.3033367037411527%","99.69666329625885%","0.20415107179312691%","99.04729499829874%","0.748553929908132%"
"KATHUA","18.803680981595093%","75.39877300613497%","5.7975460122699385%","76.33353770692827%","22.041692213366034%","1.624770079705702%","0.42905301869445295%","96.99662886913883%","2.5743181121667176%","37.88018433179724%","46.82027649769585%","15.299539170506913%","0.15408320493066255%","99.84591679506934%","2.4141132776230267%","96.62643144537294%","0.9594552770040236%"
"KULGAM","1.169993117687543%","35.839642119752234%","62.99036476256022%","86.16417139907072%","13.57769747031492%","0.2581311306143521%","6.9891547598553965%","76.69134102255121%","16.31950421759339%","60.086132644272176%","36.62360034453058%","3.2902670111972436%","37.02618883528601%","62.97381116471399%","8.57686321978212%","90.81791457720907%","0.6052222030088189%"
"BARAMULLA","2.7246725876862863%","68.79421947915098%","28.48110793316273%","68.56907154642268%","27.471126443677814%","3.959802009899505%","31.56474820143885%","63.50419664268585%","4.9310551558753%","42.0081044574516%","27.239981990094552%","30.75191355245385%","0.20288548241659152%","99.79711451758341%","1.5492744860943168%","98.26934703748489%","0.18137847642079807%"
"DODA","3.6307053941908713%","84.40525587828492%","11.964038727524205%","4.835924006908463%","85.5958549222798%","9.568221070811745%","11.421670117322291%","82.6432022084196%","5.935127674258109%","10.413051023950016%","54.77264838597709%","34.81430059007289%","0.24347826086956523%","99.75652173913043%","0.03502626970227671%","99.75481611208406%","0.21015761821366025%"
"KUPWARA","4.3571647744706965%","88.9690088984351%","6.673826327094201%","95.25928198833998%","4.648665234734581%","0.09205277692543726%","2.362687941086223%","96.17980975759436%","1.457502301319423%","91.22295534755256%","6.7822617768912075%","1.9947828755562376%","12.181650813132864%","87.81834918686714%","3.1451365449524396%","96.79349493709726%","0.0613685179502915%"
"SRINAGAR","15.769081751259202%","76.09453700116234%","8.136381247578457%","85.17228029423151%","13.937282229965156%","0.8904374758033294%","58.614014711575685%","39.37282229965157%","2.013162988772745%","55.300970873786405%","18.9126213592233%","25.78640776699029%","0.4678362573099415%","99.53216374269006%","1.0192081536652293%","92.74794198353587%","6.232849862798902%"
"KISHTWAR","2.097902097902098%","94.8051948051948%","3.096903096903097%","4.895104895104895%","95.1048951048951%","0%","4.2957042957042955%","95.2047952047952%","0.4995004995004995%","17.68231768231768%","69.43056943056943%","12.887112887112886%","2.2977022977022976%","97.7022977022977%","0%","100%","0%"
"PULWAMA","10.730632310561113%","75.16528225122902%","14.104085438209866%","45.355932203389834%","53.66101694915254%","0.9830508474576272%","32.05084745762712%","64.03389830508475%","3.9152542372881354%","78.62595419847328%","12.87531806615776%","8.498727735368957%","8.26404208382827%","91.73595791617173%","1.6468590831918506%","97.94567062818336%","0.4074702886247878%"
"REASI","88.37567359507314%","10.238645111624326%","1.3856812933025404%","25.327174749807543%","52.11701308698999%","22.555812163202464%","16.53846153846154%","42.92307692307692%","40.53846153846154%","90.90208172706245%","6.4764841942945255%","2.6214340786430226%","0.15420200462606015%","99.84579799537394%","0.39123630672926446%","99.37402190923318%","0.2347417840375587%"
"POONCH","76.52652652652652%","22.972972972972972%","0.5005005005005005%","65.38269134567284%","33.66683341670836%","0.9504752376188094%","85.19259629814907%","14.4072036018009%","0.400200100050025%","84.67701552328492%","14.321482223335002%","1.0015022533800702%","0.250501002004008%","99.74949899799599%","0.10035122930255895%","99.59859508278977%","0.3010536879076769%"
"RAJOURI","70.29551630434783%","29.56861413043478%","0.1358695652173913%","5.839416058394161%","88.4569682566627%","5.703615684943133%","4.645642590708714%","95.26958290946084%","0.084774499830451%","79.72099353521605%","20.210956107519564%","0.06805035726437564%","0.0683526999316473%","99.93164730006835%","0.01722949689869056%","99.91385251550655%","0.06891798759476224%"
"BANDIPORA","11.771321462043112%","16.85098406747891%","71.37769447047798%","61.946572015692134%","37.49299458247712%","0.5604334018307491%","35.49169621197985%","62.530322821421905%","1.977980966598246%","64.96791241978104%","30.049075122687807%","4.983012457531144%","0.551226002661091%","99.4487739973389%","0.1922337562475971%","91.61860822760477%","8.189158016147635%"
"SAMBA","0.1006036217303823%","36.61971830985915%","63.27967806841046%","6.920762286860581%","85.75727181544634%","7.3219658976930795%","0.6018054162487463%","98.89669007021064%","0.5015045135406219%","0.3067484662576687%","11.247443762781186%","88.44580777096114%","0.20964360587002095%","99.79035639412997%","0.6600660066006601%","98.67986798679868%","0.6600660066006601%"
"RAMBAN","43.2%","51%","5.8%","7.147628590514362%","78.22311289245157%","14.629258517034069%","21.466666666666665%","67.93333333333334%","10.6%","58.010680907877166%","35.046728971962615%","6.942590120160213%","0.06680026720106881%","99.93319973279893%","0%","95.05678022712091%","4.943219772879091%"
