"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"LOHARDAGA","0%","69.56221992416408%","30.437780075835917%","20.67212408444636%","67.72080999569151%","11.607065919862128%","0.17232465965879717%","68.80923660175772%","31.01843873858349%","3.5344827586206895%","82.59482758620689%","13.870689655172415%","0.01725476662928134%","99.98274523337072%","38.78343399482312%","61.173425366695426%","0.04314063848144953%"
"CHATRA","0.07317519360936642%","57.23519726812611%","42.69162753826453%","29.275132597695542%","67.78028409437299%","2.944583307931476%","29.267995367830803%","64.59438044737003%","6.137624184799171%","1.3177963516563969%","20.54176072234763%","78.14044292599597%","0.02442002442002442%","99.97557997557998%","34.65794461086996%","65.33594179861832%","0.006113590511707526%"
"SIMDEGA","0.016619577862722286%","50.41548944656806%","49.56789097556922%","14.857569969271655%","83.89668632173408%","1.2457437089942696%","16.611323260833473%","76.96330732193259%","6.425369417233936%","6.964553170244633%","47.78665335330338%","45.248793476451986%","0.041718815185648725%","99.95828118481435%","55.12766848053579%","44.830473001255754%","0.041858518208455424%"
"PAKUR","0.08877840909090909%","82.7059659090909%","17.205255681818183%","11.425539441103643%","79.64273081004599%","8.93172974885037%","3.669724770642202%","80.89273112208892%","15.437544107268877%","24.321428571428573%","65.94642857142857%","9.732142857142858%","7.9373650107991365%","92.06263498920086%","23.75931648791129%","75.93164879112888%","0.3090347209598255%"
"KODERMA","0.8119925046845722%","84.66583385384135%","14.522173641474078%","11.930043722673329%","69.3004372267333%","18.76951905059338%","3.0918176139912554%","89.35040599625235%","7.557776389756402%","14.75%","69.5625%","15.6875%","0.3435352904434728%","99.65646470955653%","6.089943785134291%","93.72267332916927%","0.18738288569643974%"
"SARAIKELA KHARSAWAN","0.17598748533437622%","29.455090600964674%","70.36892191370096%","30.707175850627806%","27.773079175069938%","41.519744974302256%","9.669872628021835%","81.11515466597349%","9.214972706004678%","9.745068484173276%","45.72383511370339%","44.53109640212334%","0.1449370841293893%","99.8550629158706%","70.48449354452282%","29.515506455477173%","0%"
"DEOGHAR","0.22295623451692817%","85.2766308835673%","14.500412881915771%","13.42963268675196%","82.50103177878663%","4.069335534461412%","9.227467811158798%","88.6678771871905%","2.10465500165071%","23.097264688868687%","68.90339641351954%","7.999338897611768%","0.09921455146754857%","99.90078544853245%","19.872484888631284%","79.92051006044548%","0.20700505092324253%"
"JAMTARA","0.1895734597156398%","54.843601895734594%","44.96682464454976%","21.647727272727273%","54.96212121212121%","23.390151515151516%","6.497442697480583%","63.26955862852813%","30.232998673991286%","21.195445920303605%","53.49146110056926%","25.313092979127134%","0.5310070168784373%","99.46899298312157%","73.36750189825361%","26.499620349278665%","0.13287775246772968%"
"GARHWA","0.06422149279292136%","21.899529042386185%","78.0362494648209%","16.924953364901707%","79.29401635815755%","3.7810302769407373%","1.1194295900178253%","78.43850267379679%","20.442067736185383%","14.309187026718103%","45.78511215887984%","39.90570081440206%","0.9515632825355942%","99.04843671746441%","4.422233407636442%","95.5130509815201%","0.06471561084346013%"
"GUMLA","0.20289652277338557%","65.80843769677465%","33.98866578045197%","10.459665570559014%","76.01623172182187%","13.524102707619114%","6.0506435366536095%","87.31113598209289%","6.638220481253497%","8.684081518313608%","69.64773443518453%","21.668184046501857%","0.07008690776562938%","99.92991309223437%","46.578799775659%","53.302019068984855%","0.11918115535614134%"
"SAHEBGANJ","1.7270737046947215%","94.96472877645341%","3.308197518851861%","66.82475982001702%","30.803842879727593%","2.3713973002553814%","5.764319591390004%","91.91292715553934%","2.3227532530706556%","56.17238860482104%","40.46749452154857%","3.3601168736303872%","2.141640301776588%","97.85835969822341%","3.1177688466691023%","95.95664352697601%","0.9255876263548898%"
"PALAMU","5.3977272727272725%","45.442708333333336%","49.15956439393939%","35.99148130619972%","60.29342167534311%","3.71509701845717%","14.566323512010413%","79.56454857413324%","5.869127913856349%","36.532286835533355%","35.54524913782852%","27.922464026638124%","0.536097212294496%","99.4639027877055%","2.829057779908895%","94.66554783025653%","2.505394389834572%"
"WEST SINGHBHUM","0%","68.81419841373034%","31.185801586269665%","23.347416314592135%","73.12317192070198%","3.5294117647058822%","3.328133125325013%","86.14144565782631%","10.530421216848675%","32.24296026533134%","58.18430122910841%","9.572738505560253%","0.18869152189472316%","99.81130847810527%","33.63742994917242%","66.3234719145054%","0.039098136322168645%"
"GIRIDIH","0.4966617814688162%","51.85637518319492%","47.64696303533626%","26.756778763944304%","63.634883152837716%","9.608338083217978%","5.512131574662107%","76.01367855398144%","18.474189871356458%","19.56008146639511%","51.437881873727086%","29.0020366598778%","1.4910779760449768%","98.50892202395502%","26.802610114192497%","72.51223491027733%","0.6851549755301795%"
