"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"HAVERI","4.55946875370568%","64.56184038894818%","30.87869085734614%","10.518202300486186%","84.42428554488319%","5.057512154630618%","16.10340329657299%","80.08419305110874%","3.8124036523182734%","35.41592500296665%","41.693366559867094%","22.89070843716625%","0.2964719833975689%","99.70352801660243%","4.512036048855686%","92.33368907861971%","3.154274872524606%"
"TUMAKURU","0.10607132033538741%","17.01687039094858%","82.87705828871603%","65.38539246388524%","29.34639862612385%","5.268208909990908%","33.76098595817759%","48.94938882715426%","17.28962521466815%","3.14678250328316%","18.567532073946865%","78.28568542276997%","1.7223962016365288%","98.27760379836347%","1.3738761491059703%","98.50995050005051%","0.11617335084351954%"
"KOPPAL","42.816660669305506%","29.803886290032384%","27.37945304066211%","90.39222741993522%","7.466714645555955%","2.141057934508816%","58.05595537963296%","28.949262324577187%","12.994782295789852%","64.78049658150414%","15.383231378193594%","19.836272040302266%","6.1128103634400865%","93.88718963655991%","0.5397625044980209%","97.58006477150055%","1.8801727240014394%"
"BAGALKOTE","0.8843598491650206%","44.83749326629557%","54.27814688453942%","37.601005566529%","55.288202549829414%","7.110791883641587%","35.93714927048261%","54.36139169472503%","9.701459034792368%","5.445322319985634%","38.88938768181002%","55.665289998204344%","2.082959238642485%","97.91704076135751%","0.13916947250280584%","93.70594837261504%","6.154882154882155%"
"GADAG","0.03632401017072285%","97.75517617144932%","2.2084998183799494%","10.519433345441337%","89.40791863421721%","0.0726480203414457%","40.435888122048674%","59.54958227388304%","0.01452960406828914%","1.7798764983654196%","76.84707591718126%","21.373047584453325%","85.11442063203778%","14.885579367962222%","0.10170722847802398%","99.7893207410098%","0.10897203051216854%"
"BENGALURU RURAL","0.09001800360072014%","7.171434286857371%","92.7385477095419%","57.04140828165633%","34.56691338267653%","8.391678335667134%","27.635527105421083%","44.58891778355671%","27.775555111022204%","5.161032206441289%","18.45369073814763%","76.38527705541108%","2.8116870122073245%","97.18831298779267%","20.854170834166833%","79.06581316263252%","0.08001600320064013%"
"CHAMARAJANAGARA","28.575655364222737%","52.02674714480147%","19.397597490975798%","62.90838068181818%","34.505208333333336%","2.586410984848485%","18.66974377182082%","56.44712704893781%","24.883129179241376%","21.604828688088052%","26.877330019527783%","51.51784129238416%","2.6392094206757797%","97.36079057932422%","0.2248653766495059%","99.25439375110953%","0.520740872240961%"
"RAICHUR","0.005902142477719412%","0.15935784689842414%","99.83474001062386%","3.865903322906215%","93.09449330106828%","3.0396033760254975%","0.10623856459894943%","93.53125184441953%","6.362509590981526%","0.017706427433158235%","7.702295933423833%","92.279997639143%","99.74620787345806%","0.2537921265419347%","0.19478219808759295%","97.71573604060913%","2.08948176130327%"
"MYSURU","0%","0.5210866393385674%","99.47891336066144%","78.46175224067255%","17.709997915653442%","3.828249843674008%","44.86903355797957%","40.304314597373725%","14.826651844646703%","18.627110400889322%","33.67609254498715%","47.69679705412353%","5.045871559633028%","94.95412844036697%","8.663933856735913%","91.27353574654346%","0.06253039672062809%"
"DAKSHINA KANNADA","0.033215234720992026%","3.4654561558901684%","96.50132860938884%","32.429140832595216%","49.21390611160319%","18.356953055801593%","8.137732506643047%","47.68600531443756%","44.176262178919394%","91.41939769707706%","7.694862710363153%","0.8857395925597874%","0.39867109634551495%","99.60132890365449%","21.191319751992914%","78.7976085031001%","0.011071744906997343%"
"BELAGAVI","0.03561887800534283%","8.198278420896408%","91.76610270109825%","37.80943900267142%","28.15672306322351%","34.03383793410507%","34.56812110418522%","32.71593944790739%","32.71593944790739%","1.2051053725140992%","7.598693974473138%","91.19620065301277%","0.5639655684179282%","99.43603443158207%","2.089640842980113%","77.70851884832294%","20.201840308696944%"
"MANDYA","0%","17.713986791342446%","82.28601320865755%","75.89093049107434%","16.451971490224285%","7.657098018701367%","37.95200418492121%","44.91597462891519%","17.132021186163605%","38.0460371436045%","29.067486267329322%","32.88647658906618%","3.466998102963302%","96.5330018970367%","10.115739227097365%","88.62224547178448%","1.2620153011181587%"
"BIDAR","0.005141652527122217%","55.58640547071829%","44.40845287675459%","3.249023236685174%","85.15319761464117%","11.597779148673657%","98.5811227637261%","1.3469052025498662%","0.07197203372403865%","13.849475632325724%","59.23298375488382%","26.917540612790457%","0.5192268147234218%","99.48077318527658%","0.13880320789636028%","99.77380217972446%","0.0873946123791898%"
"BENGALURU URBAN","0%","6.304447501146263%","93.69555249885374%","50.04585052728106%","35.098578633654284%","14.855570839064649%","21.641448876662082%","49.40394314534617%","28.954607977991746%","5.708390646492434%","15.1077487391105%","79.18386061439706%","4.860155891792756%","95.13984410820724%","9.032553874369555%","90.78404401650619%","0.18340210912425492%"
"KOLAR","0.0069458915051746895%","7.334861429464472%","92.65819267903035%","72.11224560672362%","22.26852816559005%","5.619226227686323%","17.239702715843578%","55.67132041397513%","27.088976870181288%","0.1319719385983191%","5.487254289088004%","94.38077377231367%","2.9381121066888936%","97.06188789331111%","7.911370424393971%","92.07473779259568%","0.013891783010349379%"
"SHIVAMOGGA","2.493995935710327%","19.73027895806392%","77.77572510622575%","47.571111932028074%","27.936830439601035%","24.49205762837089%","48.39305504248245%","41.90062800147765%","9.706316956039897%","50.61876616180273%","30.67971924639823%","18.70151459179904%","0.3879549233327175%","99.61204507666729%","15.515330624307351%","84.42002216475804%","0.06464721093461397%"
"UTTARA KANNADA","0%","20.11967090501122%","79.88032909498878%","44.03927068723703%","32.0617110799439%","23.899018232819074%","29.929873772791023%","28.508648901355773%","41.561477325853204%","70.64494992043433%","22.540484882523636%","6.81456519704203%","5.676080044884983%","94.32391995511502%","19.738072965388213%","80.23386342376052%","0.02806361085126286%"
"RAMANAGARA","0.023198267862666256%","78.84317970924837%","21.133622022888957%","76.26633671023123%","18.157915087773567%","5.575748201995205%","13.029693782864213%","61.622332199195796%","25.347974017939993%","14.290133003402413%","49.88400866068667%","35.825858335910915%","4.051964120012372%","95.94803587998763%","12.519331889885555%","87.33374574698422%","0.1469223631302196%"
"CHIKKAMAGALURU","0.007139287499107589%","16.391804097951024%","83.60105661454986%","83.27264938959092%","11.16584564860427%","5.561504961804812%","46.690940244163635%","36.37466980795317%","16.9343899478832%","29.321053758834868%","26.35111015920611%","44.32783608195902%","0.09281073748839866%","99.90718926251161%","14.814021560648248%","83.0656100521168%","2.120368387234954%"
"VIJAYANAGAR","10.853614239011987%","31.848892117689793%","57.29749364329822%","45.19244734931009%","33.66739288307916%","21.140159767610747%","12.265795206971678%","57.85766158315178%","29.876543209876544%","31.711214410226614%","36.766414875072634%","31.522370714700756%","30.734512630123024%","69.26548736987698%","11.21278140885984%","74.29920116194626%","14.4880174291939%"
"BALLARI","12.327324536951%","59.43752710153007%","28.235148361518924%","35.984637304094655%","46.63941027070557%","17.375952425199777%","19.364430403270767%","59.19593631914762%","21.439633277581613%","36.697020380350615%","42.166883478907266%","21.13609614074212%","2.8373187956882666%","97.16268120431174%","2.756612773338289%","83.62138388155857%","13.62200334510314%"
"KODAGU","12.614819350887936%","74.64788732394366%","12.737293325168402%","55.566442131047154%","36.12982241273729%","8.303735456215554%","41.996325780771585%","49.210042865891%","8.793631353337416%","43.515003061849356%","43.78444580526638%","12.700551132884263%","0%","100%","0.5756276791181874%","99.42437232088182%","0%"
"YADGIR","0.18899895724713242%","15.680396246089677%","84.13060479666319%","70.34019812304484%","28.375912408759124%","1.2838894681960376%","89.50729927007299%","9.47601668404588%","1.0166840458811262%","14.337851929092805%","54.698905109489054%","30.963242961418143%","0.6517205422314911%","99.34827945776851%","0.2281021897810219%","95.91371220020855%","3.8581856100104277%"
"DHARWAD","2.771474878444084%","92.54457050243111%","4.683954619124798%","5.243111831442463%","93.16045380875202%","1.5964343598055106%","46.88006482982172%","51.620745542949756%","1.4991896272285252%","22.60129659643436%","74.80551053484604%","2.593192868719611%","0.34035656401944897%","99.65964343598056%","0.008103727714748784%","85.2836304700162%","14.708265802269043%"
"KALABURAGI","0.004075145686458291%","17.180814214108153%","82.81511064020539%","96.14506927465362%","2.1882640586797066%","1.6666666666666667%","99.47432762836186%","0.41972290138549306%","0.10594947025264874%","2.5794621026894866%","12.098614506927465%","85.32192339038305%","0.1915240423797881%","99.80847595762022%","0.10594947025264874%","99.65362673186634%","0.2404237978810106%"
"DAVANGERE","5.0183753643391205%","86.4402483842352%","8.541376251425675%","82.32275232845467%","17.284419945510994%","0.39282772603434074%","70.65196730659571%","28.549705379205474%","0.7983273141988215%","44.01571310904137%","36.66603307356016%","19.318253817398467%","0.03167965532535006%","99.96832034467465%","0.2154216562123804%","99.75923461952733%","0.02534372426028005%"
"UDUPI","1.3274336283185841%","41.006156213928435%","57.666410157752985%","55.2808772604848%","22.624086186994997%","22.0950365525202%","19.30550211619854%","45.12312427856868%","35.57137360523278%","72.50865717583686%","13.95729126587149%","13.534051558291651%","0.4906204906204906%","99.50937950937951%","86.54160654160654%","13.43915343915344%","0.01924001924001924%"
"CHITRADURGA","0.0038223377417628624%","5.267181408149224%","94.728996254109%","77.56669979359376%","21.217796804525648%","1.2155034018805901%","33.63403539620045%","65.38358625434807%","0.9823783494514736%","0.47014754223683203%","23.526488800550418%","76.00336365721274%","0.05733506612644293%","99.94266493387356%","0.11849246999464873%","99.73625869581836%","0.14524883418698875%"
"VIJAYAPURA","0.5736361507843596%","0.6204635916647155%","98.80590025755093%","88.07070943572934%","11.841489112619996%","0.08780145165066729%","40.99157106064153%","53.77546242097869%","5.2329665183797704%","0.3336455162725357%","0.38632638726293606%","99.28002809646453%","3.1315851088738%","96.86841489112619%","0.2575509248419574%","92.81198782486537%","6.930461250292671%"
"CHIKKABALLAPURA","0.011022320198401764%","2.4304216037475888%","97.558556076054%","78.30807384954532%","20.584182970515293%","1.1077431799393773%","30.69716175254891%","67.77624689997245%","1.5265913474786443%","3.5712317442821715%","84.74510884541196%","11.68365941030587%","0.3031305114638448%","99.69686948853615%","2.4028658032515846%","97.5640672361532%","0.033066960595205294%"
"HASSAN","15.641918020108275%","82.49548852797113%","1.862593451920598%","91.98891466872905%","7.972415571023459%","0.038669760247486466%","26.30832688837329%","72.37690126321216%","1.3147718484145399%","37.0005155968033%","57.4245939675174%","5.574890435679299%","0.04511472028873421%","99.95488527971126%","2.31374065480794%","97.65403454498582%","0.03222480020623872%"
