"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"MALAPPURAM","1.6666666666666667%","44.166666666666664%","54.166666666666664%","64.06919779546847%","21.019595835884875%","14.911206368646663%","30.48201989288447%","48.232593726090286%","21.285386381025248%","50.41461916461917%","24.46253071253071%","25.122850122850124%","0.23205445544554457%","99.76794554455445%","25.116423470971746%","74.86805339956535%","0.01552312946289972%"
"PALAKKAD","0%","0%","100%","71.4712578258395%","19.02390438247012%","9.504837791690381%","46.48748577929465%","41.19738339021615%","12.315130830489192%","80.17094017094017%","12.977207977207977%","6.851851851851852%","0.3851091142490372%","99.61489088575097%","12.648447560452139%","87.30862784375446%","0.042924595793389614%"
"WAYANAD","0%","0%","100%","48.81998493597791%","23.047953803665578%","28.132061260356515%","28.644983046590482%","41.529574281049854%","29.825442672359664%","71.45548160241115%","13.864121562225291%","14.680396835363556%","0.03766005523474768%","99.96233994476525%","16.21689469059872%","83.78310530940128%","0%"
"THRISSUR","0%","0%","100%","91.84063510732138%","6.189356071743605%","1.970008820935019%","27.97942689199118%","38.971344599559146%","33.04922850844967%","22.46760895170789%","28.224381625441698%","49.30800942285041%","0.30936947554507954%","99.69063052445492%","9.465139875344253%","90.50587041600232%","0.028989708653428033%"
"PATHANAMTHITTA","0%","0%","100%","83.05369127516778%","13.036912751677852%","3.9093959731543624%","51.75997318136105%","37.965135769359705%","10.27489104927925%","78.33109017496635%","14.535666218034994%","7.133243606998654%","0.16900456312320433%","99.83099543687679%","33.732501264968796%","66.23376623376623%","0.033732501264968795%"
"IDUKKI","0%","0%","100%","61.164804819882015%","23.7479603363876%","15.087234843730387%","46.008034145116746%","38.37559628420788%","15.61636957067537%","87.66364551863042%","8.748741188318228%","3.5876132930513593%","1.1362201742204268%","98.86377982577957%","83.6796373252739%","16.320362674726105%","0%"
"KASARAGOD","0%","0%","100%","35.93969592436438%","46.05851539542609%","18.001788680209533%","15.715014019882743%","35.15166964058119%","49.13331633953607%","87.2131565527792%","6.629270780214177%","6.1575726670066295%","2.678913126674321%","97.32108687332568%","61.21173469387755%","38.775510204081634%","0.012755102040816327%"
"KANNUR","0%","0%","100%","73.17754635509272%","15.735331470662942%","11.087122174244348%","20.96446700507614%","49.51776649746193%","29.517766497461928%","72.9561347743166%","15.842339478703115%","11.201525746980293%","0.24179180453041485%","99.75820819546958%","40.599489795918366%","59.400510204081634%","0%"
"ALAPPUZHA","0%","0%","100%","94.64665249734325%","3.9851222104144526%","1.3682252922422955%","7.092575375215832%","27.321025368574844%","65.58639925620932%","43.02820649281533%","25.05321979776477%","31.918573709419903%","1.092896174863388%","98.90710382513662%","7.346447209955841%","91.94433293188813%","0.7092198581560284%"
"ERNAKULAM","0%","0%","100%","84.8074269225944%","8.882197967632669%","6.310375109772927%","26.163885054586522%","42.72807127619526%","31.10804366921822%","73.28982050960211%","18.036902221664366%","8.673277268733527%","1.7325800376647835%","98.26741996233521%","31.37550200803213%","68.61194779116465%","0.012550200803212851%"
"KOLLAM","0%","0%","100%","88.97230132021745%","8.19311415997929%","2.8345845198032618%","21.846671846671846%","50.453250453250455%","27.7000777000777%","48.256642903434866%","22.734931950745302%","29.00842514581983%","0.7902578054152092%","99.20974219458479%","40.55454781031355%","59.1085773516455%","0.33687483804094326%"
"THIRUVANANTHAPURAM","0%","0%","100%","87.1919191919192%","11.030303030303031%","1.7777777777777777%","40.306946688206786%","44.29186860527733%","15.401184706515886%","65.77777777777777%","19.905723905723907%","14.316498316498317%","2.451178451178451%","97.54882154882155%","16.204202586206897%","83.74191810344827%","0.05387931034482758%"
"KOTTAYAM","0%","0%","100%","79.11799065420561%","14.12091121495327%","6.7610981308411215%","29.228075295491024%","42.53611556982344%","28.23580913468554%","71.72262773722628%","19.05109489051095%","9.226277372262773%","0.67143482703255%","99.32856517296744%","45.2992700729927%","54.68613138686131%","0.014598540145985401%"
"KOZHIKODE","0%","0%","100%","71.32737392477652%","19.311856974194637%","9.360769101028842%","18.021201413427562%","52.83526838297156%","29.143530203600875%","43.2994923857868%","28.866328257191203%","27.834179357021995%","0.30456852791878175%","99.69543147208122%","29.706829350957467%","70.29317064904254%","0%"
