"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"UJJAIN","0.024897298643097223%","5.2740777625627615%","94.70102493879413%","43.152304692361945%","51.04343857611086%","5.804256731527196%","85.34389778478388%","14.02555380403219%","0.6305484111839376%","13.144211971215839%","58.57077492616779%","28.285013102616364%","0.11650647027004535%","99.88349352972996%","0.17877931149176784%","99.56344586728754%","0.2577748212206885%"
"VIDISHA","0.1146213912171359%","17.024858514220217%","82.86052009456264%","8.82279251225885%","90.00680052972547%","1.170406958015677%","28.318362380560426%","71.27366424507032%","0.4079733743692517%","9.92574523800983%","51.43666822111418%","38.63758654087599%","0.36641879512878545%","99.63358120487122%","0.08635889316685258%","99.70853873556187%","0.20510237127127487%"
"RAISEN","0.2228438670522972%","9.037030012801669%","90.74012612014603%","2.3906264764244542%","93.99508645941604%","3.6142870641595013%","41.21063317437084%","57.56173568157137%","1.2276311440577932%","11.170692355146397%","50.27760641579272%","38.55170122906088%","3.7860748642727877%","96.21392513572721%","0.03362474781439139%","99.52444999519646%","0.44192525698914403%"
"DEWAS","0.2716336825766395%","32.962531798387445%","66.76583451903592%","7.754171684156201%","85.88508515396525%","6.360743161878548%","6.9924359635550974%","84.28743338490631%","8.720130651538593%","12.082184700206755%","53.08407994486561%","34.83373535492763%","5.002541511352084%","94.99745848864792%","1.658374792703151%","97.31258238720925%","1.0290428200875963%"
"NEEMUCH","0.08389965601141035%","54.610286097827%","45.30581424616159%","2.2898842476094616%","49.27025666834424%","48.439859084046304%","72.34149614223415%","27.214022140221402%","0.44448171754444815%","48.321302669128755%","37.20832633876112%","14.470370992110123%","0.033585222502099076%","99.9664147774979%","0.02520584775667955%","99.67232397916317%","0.3024701730801546%"
"HARDA","0.18681611956231653%","29.677074993327995%","70.13610888710969%","85.95445650240171%","13.965486568226295%","0.08005692937199786%","24.22166874221669%","75.59153175591531%","0.18679950186799502%","66.33451957295374%","31.983985765124554%","1.6814946619217082%","0.7208329625344843%","99.27916703746551%","0.017795177506895632%","99.93771687872587%","0.04448794376723908%"
"SEONI","0.05927916534935188%","47.798766993360736%","52.14195384128991%","37.602685624012636%","57.725118483412324%","4.672195892575039%","89.84248549208479%","9.825905017567408%","0.3316094903477952%","56.46635281085572%","25.12165209478973%","18.411995094354552%","1.7510498375723%","98.2489501624277%","0.6234859616377427%","99.07469917795163%","0.30181486041062705%"
"GUNA","0.1112797167425392%","4.284269094587759%","95.6044511886697%","14.198342094621916%","80.29215527699151%","5.509502628386575%","0.19178358736247098%","72.18633289593217%","27.62188351670536%","17.398580121703855%","78.73732251521298%","3.864097363083164%","0.10676699374650465%","99.8932330062535%","0.2759748556242653%","99.66269739868146%","0.06132774569428119%"
"RAJGARH","1.023181454836131%","12.677857713828937%","86.29896083133494%","74.55156950672645%","23.382447149263292%","2.0659833440102497%","59.217009425878324%","36.112896315338475%","4.670094258783204%","34.70644953931862%","39.023998285836726%","26.269552174844655%","6.076276664511958%","93.92372333548803%","0.17273954116059378%","88.86909581646424%","10.958164642375168%"
"RATLAM","0.0411522633744856%","12.197530864197532%","87.76131687242798%","4.875740618828177%","86.13396971691903%","8.990289664252797%","81.58295281582953%","17.602534040890205%","0.8145131432802666%","12.369775581634753%","49.70146180770023%","37.92876261066502%","0.17303176368804846%","99.82696823631196%","0.20225368390638543%","99.1703471333636%","0.6273991827300119%"
"SEHORE","0.06920783645655877%","47.25298126064736%","52.677810902896084%","4.462765957446808%","81.76063829787235%","13.77659574468085%","69.60408684546616%","28.192848020434226%","2.203065134099617%","57.9401377872981%","23.093845886643894%","18.96601632605801%","1.1389276888363598%","98.86107231116364%","0.7959283123071093%","99.1336834695977%","0.07038821809518653%"
"SINGRAULI","0.174505567558584%","60.952301811533985%","38.87319262090743%","46.478405315614616%","53.29734219269103%","0.22425249169435216%","2.466572543808654%","96.79428618885474%","0.7391412673365999%","10.537258815701929%","84.91350632069195%","4.549234863606121%","0.10812609165765616%","99.89187390834235%","0.03331667499583542%","99.94169581875728%","0.02498750624687656%"
"AGAR MALWA","0.012584948401711553%","10.967782532091618%","89.01963251950667%","4.548027929798075%","85.59476630810845%","9.857205762093477%","78.15723270440252%","12.79245283018868%","9.050314465408805%","2.1426770859591633%","12.143937484245022%","85.71338542979582%","0.05676084762865792%","99.94323915237135%","0.3286355305567844%","99.22897048600139%","0.4423939834418252%"
"SHAJAPUR","0.017955470433325352%","11.832655015561407%","88.14938951400526%","59.58502750538149%","37.592681176751974%","2.822291317866539%","0.8725273411820953%","83.3861232295464%","15.7413494292715%","14.107410741074107%","36.81368136813681%","49.078907890789075%","2.9560201874549388%","97.04397981254506%","0.3199130802197139%","99.10062171787288%","0.5794652019074062%"
"ANUPPUR","0%","22.314206268958543%","77.68579373104146%","61.76693629929221%","38.22042467138524%","0.012639029322548028%","0.1263902932254803%","98.37588473205258%","1.4977249747219414%","28.709555106167848%","51.68099089989889%","19.609453993933265%","0.2591001011122346%","99.74089989888776%","0.006319914049168931%","99.98736017190166%","0.006319914049168931%"
