"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"NANDED","0.6080765033002443%","12.707239748453823%","86.68468374824593%","22.361730829096192%","46.86624468195497%","30.772024488948844%","93.72831322181366%","4.448702677507898%","1.8229841006784402%","5.717863105175292%","48.262729549248746%","46.01940734557596%","0.4291845493562232%","99.57081545064378%","0.33100404560500185%","99.40629433089896%","0.2627016234960332%"
"DHULE","0.03948511411197978%","1.5083313590776277%","98.45218352681039%","9.838913455464308%","87.09728363866077%","3.063802905874921%","97.59159823120658%","2.218888186986734%","0.18951358180669614%","0.24478837650031585%","17.324699936828807%","82.43051168667088%","0.1737207833228048%","99.8262792166772%","0.015794045644791914%","99.92892679459844%","0.055279159756771695%"
"AMRAVATI","0.10309278350515463%","1.3831615120274914%","98.51374570446735%","15.35686678691059%","29.2536287898308%","55.38950442325861%","89.97681010048956%","6.810959374731598%","3.212230524778837%","8.016152590428732%","17.11487241171922%","74.86897499785205%","1.77896184255758%","98.22103815744242%","2.2852233676975944%","95.13745704467354%","2.577319587628866%"
"JALGAON","0.6450322516125806%","4.88024401220061%","94.4747237361868%","15.657651352297155%","83.28250762385642%","1.059841023846423%","92.86607008948658%","6.743988401739739%","0.38994150877368394%","2.4612306153076537%","12.10105052526263%","85.43771885942971%","1.24037211163349%","98.75962788836651%","0.040022012106658664%","98.70929010956026%","1.2506878783330833%"
"Chhatrapati Sambhajinagar","0.02651464934376243%","1.7831101683680233%","98.19037518228821%","51.24618851915683%","38.58544345751027%","10.168368023332892%","74.4862786689646%","23.67758186397985%","1.8361394670555482%","0.1658704883227176%","14.583333333333334%","85.25079617834395%","0.3847684755207642%","99.61523152447924%","0%","92.04221145549877%","7.957788544501228%"
"NASHIK","0.10112684195319271%","24.631609361456228%","75.26726379659058%","9.520369835307715%","84.64798227872484%","5.831647885967447%","43.55405730797014%","55.54057307970142%","0.9053696123284373%","9.295828918215971%","39.12917830652153%","51.5749927752625%","0.7178647138176912%","99.28213528618231%","0.12530120481927712%","94.81927710843374%","5.055421686746988%"
"SATARA","3.099583733589497%","26.910022414345182%","69.99039385206532%","55.64092713535664%","31.354846971443205%","13.004225893200154%","70.50649932765576%","24.90875328168022%","4.58474739066402%","9.334358382984176%","4.862579281183932%","85.8030623358319%","0.9611687812379854%","99.03883121876201%","1.7956775476175206%","93.86263066760726%","4.34169178477522%"
"PUNE","0.04866180048661801%","10.721816707218167%","89.22952149229522%","24.352527710191943%","65.250067585834%","10.397404703974047%","67.6632785467128%","30.47145328719723%","1.8652681660899655%","8.300886869997838%","20.073545316893792%","71.62556781310838%","0.6001946577268303%","99.39980534227317%","0.1892403352257367%","98.85915112192484%","0.9516085428494188%"
"SINDHUDURG","0.10370754472387866%","23.295307233601246%","76.60098522167488%","31.843503044435806%","46.50861510558362%","21.647881849980568%","82.85862247540135%","16.066804764370794%","1.0745727602278612%","96.40399844216539%","2.9209398935479682%","0.6750616642866416%","0.4162330905306972%","99.5837669094693%","61.67602140712701%","38.21955358308315%","0.10442500978984466%"
"NANDURBAR","0%","15.577246179694376%","84.42275382030563%","1.568%","98.384%","0.048%","7.928%","91.64%","0.432%","1.336106888551084%","45.23561884950796%","53.428274261940956%","0.47207553208513364%","99.52792446791487%","0%","99.93597951344431%","0.06402048655569782%"
"NAGPUR","0.033097239690209834%","3.3626795525253192%","96.60422320778447%","7.339996028856973%","67.66827718578331%","24.99172678535972%","90.92593818254021%","8.868886094380832%","0.20517572307895957%","3.5354872881355934%","24.88082627118644%","71.58368644067797%","0.07282356835484939%","99.92717643164515%","0.03311039004039468%","97.64916230713197%","2.3177273028276275%"
"WASHIM","0.5768343331795108%","17.089678510998308%","82.33348715582218%","3.653284110136902%","51.761267497308104%","44.585448392554994%","77.25734502384249%","22.042762651899707%","0.6998923242578065%","50.63836332871866%","25.21150592216582%","24.150130749115522%","0.15382248884786956%","99.84617751115213%","0.18461538461538463%","98.73076923076923%","1.0846153846153845%"
"RAIGAD","15.482181016061212%","12.780037223409389%","71.7377817605294%","37.074203017270804%","44.51498395794935%","18.41081302477985%","57.61277554084488%","34.457107759503174%","7.930116699651949%","51.03099822477127%","21.213983340161136%","27.755018435067594%","2.9118930714675395%","97.08810692853245%","6.996249573815207%","92.98329355608593%","0.020456870098874872%"
"AKOLA","0.048630248014264875%","0.21883611606419193%","99.73253363592154%","63.413843410601395%","33.57108121251419%","3.0150753768844223%","75.57140541416761%","23.407359377532824%","1.0212352082995624%","1.2242581482082049%","16.774768931409113%","82.00097292038268%","0.8348869255086325%","99.16511307449137%","0%","97.2278511793791%","2.7721488206208966%"
"LATUR","0.0125%","0.33125%","99.65625%","0.9061933629148178%","66.37710143116055%","32.71670520592463%","99.65627148303231%","0.2874820323729767%","0.056246484594712834%","2.9628703587948495%","37.86723340417552%","59.169896237029626%","0.15626953369171145%","99.84373046630829%","0.043758204663374385%","99.8062136650622%","0.15002813027442646%"
"AHILYANAGAR","0.030767652940874825%","3.5485359725142303%","96.42069637454489%","74.02051282051282%","21.087179487179487%","4.892307692307693%","39.148041828993236%","42.80807873692844%","18.043879434078328%","48.71492330580208%","27.055866208382497%","24.229210485815422%","0.9240246406570842%","99.07597535934292%","0.11300015409111921%","96.0193127536083%","3.8676870923005806%"
"CHANDRAPUR","0.04192090921794215%","8.402813358796404%","91.55526573198566%","8.938053097345133%","72.7619934792734%","18.299953423381464%","21.522053001723254%","78.02617484048251%","0.4517721577942341%","6.58777487886694%","40.682072307118894%","52.73015281401416%","0.04660700969425802%","99.95339299030574%","0.5271751807790996%","99.03428971308607%","0.4385351061348262%"
"WARDHA","0.23692523692523693%","25.175500175500176%","74.5875745875746%","25.105263157894736%","34.90350877192982%","39.99122807017544%","92.24697421504999%","7.446062094369409%","0.3069636905805999%","1.6502808988764044%","16.880266853932586%","81.46945224719101%","0.008788890841975743%","99.99121110915803%","0.017576236927673784%","99.81544951225942%","0.16697425081290096%"
"GADCHIROLI","0.06336734047272036%","0.6780305430581078%","99.25860211646918%","4.984207201516108%","55.48325963360708%","39.53253316487682%","4.1551246537396125%","76.10803324099723%","19.736842105263158%","20.640592101065526%","48.40809034645569%","30.951317552478784%","0.4491210060310535%","99.55087899396895%","2.9689521345407504%","96.64941785252265%","0.3816300129366106%"
"SANGLI","0.04528985507246377%","2.6979813664596275%","97.2567287784679%","35.11904761904762%","59.51086956521739%","5.37008281573499%","54.1213768115942%","40.747929606625256%","5.130693581780538%","27.502750275027502%","34.595224228305185%","37.902025496667314%","1.4818170053060695%","98.51818299469393%","0.032362459546925564%","83.28802588996764%","16.679611650485437%"
"HINGOLI","0.1312450783095634%","52.9967626214017%","46.87199230028874%","0.24499081284451832%","82.3869104908566%","17.36809869629889%","71.65106308513431%","28.305188555429172%","0.04374835943652113%","0.3762029746281715%","24.31321084864392%","75.31058617672791%","0.008748906386701663%","99.9912510936133%","0.008748906386701663%","99.9912510936133%","0%"
"PARBHANI","0.10092175200161475%","5.234474870483751%","94.66460337751464%","0.05377789728421619%","63.67303038451197%","36.27319171820382%","99.70434081440666%","0.14111006585136407%","0.15454911974197016%","0.047195253505933114%","0.12135922330097088%","99.8314455231931%","0.02025931928687196%","99.97974068071312%","0.3993772422662966%","99.0861707168483%","0.5144520408853991%"
