"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"RI BHOI","0.23121387283236994%","21.541425818882466%","78.22736030828517%","23.026569118213324%","30.304197150558338%","46.66923373122834%","40.7920030757401%","38.062283737024224%","21.14571318723568%","88.31018518518519%","5.979938271604938%","5.709876543209877%","0.03861003861003861%","99.96138996138995%","51.854714064914994%","48.106646058732615%","0.03863987635239567%"
"NORTH GARO HILLS","0.11487650775416428%","41.35554279149914%","58.5295807007467%","1.2055109070034442%","42.19288174512055%","56.601607347876005%","1.4343086632243258%","88.46815834767642%","10.097532989099253%","44.726224783861674%","45.821325648414984%","9.452449567723344%","0.057803468208092484%","99.94219653179191%","46.55072463768116%","53.391304347826086%","0.057971014492753624%"
"WEST JAINTIA HILLS","0.1252740369558409%","72.65894143438773%","27.215784528656435%","16.8648310387985%","35.51314142678348%","47.622027534418024%","10.137672090112641%","80.9136420525657%","8.948685857321651%","87.0724819579542%","5.993096956385315%","6.934421085660496%","0.15683814303638646%","99.84316185696362%","89.03894472361809%","10.96105527638191%","0%"
"SOUTH WEST GARO HILLS","2.4904214559386975%","60.3448275862069%","37.16475095785441%","0.06385696040868455%","33.71647509578544%","66.21966794380587%","2.362707535121328%","74.07407407407408%","23.563218390804597%","60.3448275862069%","33.971902937420175%","5.683269476372924%","0.06385696040868455%","99.93614303959131%","51.14942528735632%","48.78671775223499%","0.06385696040868455%"
"WEST GARO HILLS","1.7263264788017263%","78.11627316577811%","20.157400355420158%","0.38080731150038083%","32.546331556232545%","67.07286113226708%","0.9395632300660234%","85.70340274250889%","13.357034027425088%","76.29573170731707%","20.452235772357724%","3.252032520325203%","0.02540650406504065%","99.97459349593495%","34.58703939008895%","65.38754764930114%","0.025412960609911054%"
"SOUTH GARO HILLS","4.663557628247835%","80.07994670219854%","15.256495669553631%","0.19986675549633579%","37.908061292471686%","61.892071952031976%","0.5329780146568954%","91.47235176548968%","7.994670219853431%","80.50734312416556%","17.623497997329775%","1.8691588785046729%","0%","100%","54.30861723446894%","45.69138276553106%","0%"
"EAST KHASI HILLS","1.222684703433923%","23.93340270551509%","74.843912591051%","40.59817945383615%","41.87256176853056%","17.52925877763329%","35.82943317732709%","28.75715028601144%","35.413416536661465%","96.72045809474233%","1.3794898490369598%","1.9000520562207184%","0.026041666666666668%","99.97395833333333%","58.60901276374056%","41.31284188590779%","0.07814535035165408%"
"WEST KHASI HILLS","1.5151515151515151%","30.895915678524375%","67.58893280632411%","27.009222661396574%","47.56258234519104%","25.428194993412383%","38.81578947368421%","40.921052631578945%","20.263157894736842%","95.25691699604744%","3.096179183135705%","1.6469038208168643%","0.13210039630118892%","99.86789960369882%","50.52910052910053%","49.47089947089947%","0%"
"EAST GARO HILLS","0.24115755627009647%","72.50803858520901%","27.2508038585209%","0%","23.794212218649516%","76.20578778135048%","0%","92.52411575562701%","7.47588424437299%","79.0192926045016%","19.855305466237944%","1.1254019292604502%","0%","100%","11.736334405144694%","88.26366559485531%","0%"
"EASTERN WEST KHASI HILLS","0.7692307692307693%","19.914529914529915%","79.31623931623932%","43.162393162393165%","45.12820512820513%","11.709401709401709%","34.7008547008547%","49.14529914529915%","16.153846153846153%","94.52523524379812%","2.9084687767322497%","2.5662959794696323%","0.0855431993156544%","99.91445680068435%","50.042771599657826%","49.957228400342174%","0%"
"SOUTH WEST KHASI HILLS","0.23446658851113716%","24.970691676436108%","74.79484173505276%","36.928487690504106%","47.12778429073857%","15.943728018757326%","30.760233918128655%","47.60233918128655%","21.637426900584796%","92.61430246189919%","3.7514654161781946%","3.634232121922626%","0%","100%","50%","50%","0%"
"EAST JAINTIA HILLS","0.33277870216306155%","88.9628397115918%","10.704381586245146%","11.148086522462563%","31.22573488630061%","57.62617859123683%","5.213533000554631%","87.46533555185802%","7.321131447587354%","87.06274292059966%","6.218767351471405%","6.718489727928929%","0.1111111111111111%","99.88888888888889%","89.56714761376249%","10.432852386237514%","0%"
