"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"LAWNGTLAI","0%","0%","100%","0.5237560793116348%","72.01646090534979%","27.45978301533857%","0%","61.12981668537224%","38.87018331462776%","77.39391663537364%","12.316935786706722%","10.289147577919639%","0%","0%","51.6836927733636%","48.3163072266364%","0%"
"MAMIT","0.47882136279926335%","59.226519337016576%","40.294659300184165%","0.40337367070040336%","96.33296662999633%","3.263659699303264%","60.54844606946983%","34.11334552102377%","5.338208409506398%","88.74860750092833%","8.429261047159303%","2.8221314519123655%","99.81224183251972%","0.1877581674802854%","32.64604810996563%","67.27758686521572%","0.07636502481863307%"
"Hnahthial","0%","0%","100%","2.8021748222501044%","70.51442910915935%","26.683396068590547%","0%","45.88038477624425%","54.11961522375575%","72.15189873417721%","19.367088607594937%","8.481012658227849%","100%","0%","59.37766410912191%","40.62233589087809%","0%"
"LUNGLEI","0%","0%","100%","0.6137184115523465%","44.51263537906137%","54.87364620938628%","0.03611412062116288%","30.66088840736728%","69.30299747201155%","75.53191489361703%","12.325752017608217%","12.14233308877476%","100%","0%","44.23368740515933%","55.72837632776935%","0.03793626707132018%"
"KOLASIB","0.8190618019359642%","55.99404318689501%","43.18689501116902%","50.3723008190618%","43.894266567386445%","5.7334326135517495%","66.16933979858261%","31.928384930995897%","1.9022752704214845%","92.25325884543761%","6.8528864059590315%","0.8938547486033519%","1.941022769690183%","98.05897723030982%","41.126025354213276%","58.873974645786724%","0%"
"SAITUAL","0.03933910306845004%","5.0747442958300555%","94.8859166011015%","1.2981904012588512%","94.25649095200629%","4.445318646734854%","0%","31.03855232100708%","68.96144767899293%","98.18968909878001%","0.905155450609996%","0.905155450609996%","100%","0%","51.024428684003155%","48.975571315996845%","0%"
"AIZAWL","0.03449465332873405%","1.1728182131769576%","98.79268713349431%","3.104518799586064%","93.58399448085547%","3.3114867195584683%","0.13802622498274672%","36.68046928916494%","63.181504485852315%","96.61602209944752%","1.3812154696132597%","2.0027624309392267%","100%","0%","67.20801658604009%","32.79198341395992%","0%"
"CHAMPHAI","0.07254261878853827%","3.1556039173014145%","96.77185346391005%","8.922742110990207%","89.98911860718172%","1.088139281828074%","2.5752629669931086%","42.110990206746465%","55.31374682626043%","89.18722786647315%","4.644412191582003%","6.168359941944848%","0%","0%","60.6479796141245%","39.3520203858755%","0%"
"SERCHHIP","0%","3.6062026685899746%","96.39379733141003%","25.793650793650794%","68.75901875901876%","5.447330447330447%","2.416155787955283%","20.05048683736026%","77.53335737468446%","86.332491886044%","4.940497655968265%","8.727010457987738%","0%","0%","46.98882077172737%","53.01117922827263%","0%"
"KHAWZAWL","0.1095690284879474%","0.9130752373995618%","98.97735573411249%","10.701241782322864%","85.93864134404674%","3.3601168736303872%","1.6070124178232286%","39.62746530314098%","58.76552227903579%","92.76844411979548%","3.6157779401022645%","3.6157779401022645%","0%","0%","53.50877192982456%","46.49122807017544%","0%"
"SAIHA","0%","0%","100%","0.03644314868804665%","88.66618075801749%","11.29737609329446%","0%","75.10932944606414%","24.89067055393586%","71.88183807439825%","18.088986141502552%","10.029175784099198%","0%","100%","84.9015317286652%","15.098468271334792%","0%"
