"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"MOKOKCHUNG","0.08888888888888889%","66.53333333333333%","33.37777777777778%","11.281481481481482%","41.77037037037037%","46.94814814814815%","14.266666666666667%","50.54814814814815%","35.18518518518518%","72.05925925925926%","18.392592592592592%","9.548148148148147%","0.014814814814814815%","99.98518518518519%","99.05925925925926%","0.9333333333333333%","0.007407407407407408%"
"KIPHIRE","1.8933333333333333%","68.34666666666666%","29.76%","67.08%","32.57333333333333%","0.3466666666666667%","19.466666666666665%","66.02666666666667%","14.506666666666666%","30.586666666666666%","34.413333333333334%","35%","0.05334044539271903%","99.94665955460728%","66.89333333333333%","33.08%","0.02666666666666667%"
"ZUNHEBOTO","6.2%","79.58333333333333%","14.216666666666667%","56.141666666666666%","34.858333333333334%","9%","49.55%","48.86666666666667%","1.5833333333333333%","75.7%","16.091666666666665%","8.208333333333334%","1.2166666666666666%","98.78333333333333%","91.21666666666667%","8.783333333333333%","0%"
"DIMAPUR","1.4381591562799616%","46.97986577181208%","51.581975071907955%","3.5474592521572386%","79.48226270373921%","16.970278044103548%","21.73218280600831%","58.61297539149888%","19.654841802492808%","23.585810162991372%","53.659316075423455%","22.75487376158517%","0%","100%","70.5017577500799%","29.242569511025888%","0.2556727388942154%"
"Niuland","0.8863819500402901%","49.87912973408542%","49.234488315874295%","4.109589041095891%","56.88960515713134%","39.00080580177276%","45.36663980660757%","50.765511684125705%","3.8678485092667203%","4.43190975020145%","34.971796937953265%","60.59629331184529%","0%","100%","69.78243352135375%","30.217566478646255%","0%"
"TUENSANG","0.5658639294644032%","39.13672851691012%","60.297407553625476%","25.792867482563494%","49.49335438873536%","24.713778128701144%","24.292670088169498%","71.87787866824583%","3.8294512435846824%","70.61455454665088%","13.936044216344255%","15.449401237004869%","0.01316309069369488%","99.9868369093063%","50.74351888406369%","49.25648111593631%","0%"
"Chumoukedima","0.9503239740820735%","42.59179265658747%","56.45788336933045%","16.868250539956804%","65.5939524838013%","17.5377969762419%","29.20086393088553%","63.02375809935205%","7.775377969762419%","24.276457883369332%","51.53347732181425%","24.190064794816415%","1.079913606911447%","98.92008639308855%","61.576673866090715%","38.423326133909285%","0%"
"SHAMATOR","0%","96.42857142857143%","3.5714285714285716%","0.07142857142857142%","99.92857142857143%","0%","0.8571428571428571%","98.42857142857143%","0.7142857142857143%","4.714285714285714%","30.857142857142858%","64.42857142857143%","0%","100%","19.5%","80.5%","0%"
"PHEK","2.658554879573298%","53.979498291524294%","43.36194682890241%","10.425%","51.425%","38.15%","26.429404900816802%","61.410235039173195%","12.160360060010001%","77.83981998499875%","9.709142428535712%","12.451037586465539%","0.075%","99.925%","77.10642553546128%","22.75189599133261%","0.1416784732061005%"
"PEREN","70.96666666666667%","28.8%","0.23333333333333334%","0.06666666666666667%","0.08333333333333333%","99.85%","0.05%","38.95%","61%","90.815135855976%","7.53458909818303%","1.6502750458409734%","5.16752792132022%","94.83247207867979%","50.56666666666667%","49.15%","0.2833333333333333%"
"MON","5.154373927958834%","81.0377358490566%","13.807890222984563%","42.495711835334475%","56.56089193825043%","0.9433962264150944%","5.23156089193825%","84.89708404802744%","9.871355060034306%","49.94854202401372%","34.04802744425386%","16.00343053173242%","9.845626072041167%","90.15437392795883%","82.38421955403088%","17.615780445969126%","0%"
"LONGLENG","24.91111111111111%","62.666666666666664%","12.422222222222222%","44.13333333333333%","41.6%","14.266666666666667%","30.177777777777777%","66.71111111111111%","3.111111111111111%","11.266666666666667%","52.46666666666667%","36.266666666666666%","2.0226717048232943%","97.9773282951767%","92.0391372025795%","7.960862797420503%","0%"
"Noklak","0.17873100983020554%","44.86148346738159%","54.9597855227882%","2.7256478999106344%","78.66398570151921%","18.61036639857015%","10.142984807864165%","85.67917783735479%","4.177837354781055%","86.82915921288014%","4.338103756708408%","8.83273703041145%","1.5638963360142986%","98.4361036639857%","35.924932975871315%","63.96336014298481%","0.11170688114387846%"
"WOKHA","72.58095238095238%","27.419047619047618%","0%","0%","0%","100%","17.447619047619046%","8.676190476190476%","73.87619047619047%","83.4952380952381%","10.085714285714285%","6.419047619047619%","0.0761904761904762%","99.92380952380952%","71.23809523809524%","28.761904761904763%","0%"
"KOHIMA","0.22669689291905587%","53.140418722496335%","46.632884384584614%","24.713256868498267%","57.308615630834886%","17.978127500666844%","10.229394505201387%","32.42197919445185%","57.34862630034676%","72.45429067129321%","15.73468570665955%","11.811023622047244%","5.089500400748063%","94.91049959925193%","81.2382990104306%","18.721583311045734%","0.04011767852366943%"
"Tseminyu","3.9%","17.8%","78.3%","97.7%","2.3%","0%","5.366666666666666%","22.966666666666665%","71.66666666666667%","99.33333333333333%","0.3%","0.36666666666666664%","0%","100%","74.66666666666667%","25.333333333333332%","0%"
