"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"BHADRAK","0.41841004184100417%","33.840715625450876%","65.74087433270812%","37.93103448275862%","59.03909969701342%","3.029865820227961%","15.805800028855865%","77.6583465589381%","6.5358534122060306%","19.406969194141837%","39.58588846403578%","41.00714234182238%","0.19486143187066973%","99.80513856812934%","18.323474246140528%","81.33746934064348%","0.3390564132159862%"
"DEOGARH","0.4576659038901602%","2.475556480133139%","97.0667776159767%","1.3938007073018515%","2.49635947576451%","96.10983981693364%","32.723112128146454%","60.32868733097566%","6.948200540877886%","46.72352818805908%","27.563969211566466%","25.712502600374453%","0.894901144640999%","99.105098855359%","22.113584356147285%","77.6159767006449%","0.2704389432078219%"
"KENDRAPARA","0.057155104665285415%","10.180753018503966%","89.76209187683075%","9.537758091019505%","60.612988497535184%","29.84925341144531%","11.18811173822962%","74.3802243337858%","14.431663927984568%","0.8073158533971565%","5.036793598628278%","94.15589054797456%","0.0642994927484461%","99.93570050725155%","66.89290562263342%","33.07851682503394%","0.028577552332642708%"
"KALAHANDI","1.5929472564219487%","57.254901960784316%","41.15215078279374%","22.352941176470587%","76.98130414956681%","0.6657546739626083%","11.424923235946858%","87.79983583133189%","0.7752409327212477%","12.695757944351529%","40.64467082256348%","46.659571233084996%","0.3192945111753079%","99.68070548882469%","9.284932506384532%","90.61169889334792%","0.10336860026754226%"
"BARGARH","0.23250164833258147%","15.994031300968178%","83.77346705069924%","58.42006661115737%","26.599361643075216%","14.980571745767415%","48.79436561079693%","40.17277868369011%","11.032855705512958%","22.716863289382374%","36.235253296322%","41.047883414295626%","1.0551525459026065%","98.9448474540974%","40.00971446414322%","59.938243763660964%","0.05204177219581584%"
"ANUGUL","0.020897185845639453%","10.845639453886877%","89.13346336026748%","35.462524380050155%","59.01365282808582%","5.523822791864029%","45.6046252438005%","51.69267205349679%","2.7027027027027026%","29.520757871273336%","52.93953747561995%","17.539704653106714%","0.4388409027584285%","99.56115909724157%","26.365282808581778%","73.627751462803%","0.006965728615213151%"
"BALANGIR","0.520123394791592%","13.767128201449172%","85.71274840375924%","9.620834379596083%","76.66893855149407%","13.710227068909854%","13.53038238037162%","72.63433531817203%","13.835282301456346%","15.133797259487768%","62.285673290766915%","22.58052944974532%","0.05745888098829275%","99.94254111901171%","4.570075689636618%","95.40122681780679%","0.028697492556587868%"
"NABARANGPUR","0.05200658750108347%","0.13001646875270867%","99.8179769437462%","20.325907948340124%","57.172575192857764%","22.501516858802116%","22.89156626506024%","69.88818583687267%","7.220247898067089%","2.2798196948682388%","6.692094313453537%","91.02808599167822%","0.40763226366001737%","99.59236773633998%","49.18515950069348%","50.48543689320388%","0.32940360610263525%"
"DHENKANAL","0.028401022436807723%","0.6461232604373758%","99.32547571712581%","30.673104231752344%","49.183470604941775%","20.143425163305878%","38.987503550127805%","54.764271513774496%","6.248224936097699%","3.3442203919341096%","6.880147685316671%","89.77563192274921%","0.021300766827605795%","99.97869923317239%","39.04430559500142%","60.94149389378018%","0.014200511218403862%"
"SUNDARGARH","4.947010597880424%","41.88362327534493%","53.16936612677465%","23.559288142371525%","67.43051389722055%","9.010197960407918%","28.659414493681012%","44.52087665973444%","26.819708846584547%","7.198560287942412%","38.668266346730654%","54.13317336532693%","0.07598480303939212%","99.92401519696061%","0.8078384323135372%","99.18016396720655%","0.01199760047990402%"
"MAYURBHANJ","13.3153239510261%","45.7932116247658%","40.891464424208095%","0.3442115811947192%","9.019214849026186%","90.63657356977909%","5.873382423423816%","52.64258637967845%","41.48403119689774%","21.52847370484946%","30.9964707420156%","47.475055553134936%","0.09153517566036092%","99.90846482433965%","72.60250098034945%","27.34957082480066%","0.04792819484989761%"
"NUAPADA","0.02119317579739324%","85.260146232913%","14.718660591289606%","33.26268941400869%","66.66313447070043%","0.07417611529087634%","0.1907587961000424%","99.73505722763883%","0.07418397626112759%","5.206234757713922%","79.67341745308026%","15.12034778920581%","0.052994170641229466%","99.94700582935877%","0.02119317579739324%","99.9682102363039%","0.01059658789869662%"
"BALESHWAR","0.03411950356122318%","1.4884633428583613%","98.47741715358042%","21.051733697274706%","42.21009084317823%","36.738175459547065%","6.862285153751013%","70.69561137885444%","22.44210346739455%","6.290783469100525%","31.261995137970743%","62.44722139292873%","0.4350236704055956%","99.5649763295944%","23.653345843817974%","76.28268008700474%","0.06397406917729347%"
"KANDHAMAL","0.022434099831744252%","70.37577117218171%","29.60179472798654%","0.06730229949523275%","72.41727425687044%","27.515423443634326%","12.821088053841839%","85.14862591138531%","2.0302860347728546%","0.07851934941110487%","11.19461581604038%","88.72686483454851%","0.08973639932697701%","99.91026360067302%","75.23275378575434%","24.733595064498036%","0.03365114974761638%"
"PURI","1.9278241448219113%","15.0405548371929%","83.03162101798519%","33.48224782506466%","38.46108629202916%","28.056665882906184%","8.80451392970495%","61.53755730574821%","29.657928764546845%","18.97230877770592%","45.475924510553234%","35.55176671174085%","2.7519698929789485%","97.24803010702105%","33.43129187727754%","66.5393205595392%","0.029387563183260842%"
"MALKANGIRI","0.354924578527063%","10.462880804495711%","89.18219461697723%","74.94084590357882%","24.06092871931381%","0.9982253771073647%","25.635906536527653%","65.61668145519077%","8.747412008281573%","9.39949711581127%","24.478627421979%","66.12187546220973%","0.7768570583012726%","99.22314294169873%","36.58680863649808%","63.309671694764866%","0.10351966873706005%"
"KHORDHA","1.053916130463723%","32.79343243842911%","66.15265143110717%","2.773771219349828%","17.319427493620328%","79.90680128702985%","22.7756822720213%","37.88551142666962%","39.33880630130908%","36.72473094419172%","27.316098968157107%","35.959170087651174%","2.5293987131129354%","97.47060128688706%","56.01286887064566%","43.698690925227424%","0.2884402041269137%"
"SAMBALPUR","1.842277292446663%","49.01646163903251%","49.141261068520826%","44.541510667379804%","23.551435193439115%","31.907054139181078%","42.24757829678493%","41.391810780293575%","16.360610922921495%","14.542969214311185%","32.59835968144538%","52.858671104243435%","0.5349500713266762%","99.46504992867332%","39.985736360394625%","59.972661357423036%","0.04160228218233686%"
"SONEPUR","4.706512216489828%","27.2510464323956%","68.04244135111458%","69.38914577756145%","25.621805792163542%","4.989048430275006%","37.17025211720043%","50.29202764528375%","12.537720237515819%","10.80502287549888%","15.93497517765015%","73.26000194685096%","0.43146201150565366%","99.56853798849434%","12.829747882799571%","86.78088192348876%","0.38937019371167136%"
"JAJAPUR","0.19702276707530647%","17.140980735551665%","82.66199649737302%","17.28583916083916%","41.55375874125874%","41.1604020979021%","26.606206293706293%","47.68356643356643%","25.710227272727273%","5.725524475524476%","19.077797202797203%","75.19667832167832%","0.12023171931358619%","99.87976828068642%","45.19230769230769%","54.77491258741259%","0.03277972027972028%"
"KENDUJHAR","0.22578217395978928%","15.552091172992151%","84.22212665304806%","5.4080206429416195%","49.52155682184711%","45.070422535211264%","9.97742178260402%","44.39845177937856%","45.62412643801742%","22.062143855499407%","35.0714976884206%","42.86635845607999%","0.2634266974893823%","99.73657330251062%","11.708418449629072%","88.25932695409095%","0.0322545962799699%"
"GAJAPATI","0.2660164043449346%","38.23985812458435%","61.49412547107072%","49.10219463533585%","29.195300376856572%","21.702504987807583%","30.680558634449124%","63.910441143870536%","5.409000221680337%","69.164265129683%","25.160718244291733%","5.675016626025272%","0%","100%","28.086898692086013%","71.91310130791399%","0%"
"NAYAGARH","0%","1.7897091722595078%","98.2102908277405%","72.41693595161156%","24.359930400198856%","3.2231336481895765%","3.39713315104814%","67.4123788217748%","29.190488027177064%","8.724832214765101%","41.51959565829812%","49.755572126936784%","0.3811417681663767%","99.61885823183363%","17.863948960145827%","82.13605103985417%","0%"
"GANJAM","7.358618591918388%","46.44235943751609%","46.199021970565525%","22.805129165106703%","52.688599775365034%","24.506271059528267%","21.490407112774918%","60.05381375760412%","18.455779129620964%","25.774812734082396%","32.7247191011236%","41.50046816479401%","4.2058919956910685%","95.79410800430894%","15.512238498619366%","84.17419385032994%","0.3135676510506856%"
"CUTTACK","0.6115449774802694%","26.43279203338705%","72.95566298913268%","29.60208255857196%","33.76306764183298%","36.63484979959506%","7.441841246229495%","70.14172968059171%","22.416429073178794%","17.420767736870378%","44.30808644270898%","38.27114582042064%","0.5456349206349206%","99.45436507936508%","47.03937853807694%","52.93582909797116%","0.024792363951902815%"
"RAYAGADA","0.3166783954961295%","46.61036828524513%","53.07295331925874%","2.169833450621628%","33.65001172882946%","64.1801548205489%","7.8231292517006805%","83.0166549378372%","9.160215810462116%","0.8562045507858316%","22.484166080225194%","76.65962936898897%","0.1076168838933397%","99.89238311610666%","21.803893971381655%","78.17264836969271%","0.02345765892563922%"
"KORAPUT","5.279055089712379%","45.00045081597692%","49.7204940943107%","7.645838968533045%","31.989901722117033%","60.364259309349926%","33.180055901181134%","58.056081507528624%","8.763862591290236%","10.86466504372915%","33.42800468848616%","55.70733026778469%","0.05860607699936886%","99.94139392300063%","50.94671355152827%","49.03074564962582%","0.0225407988459111%"
"BOUDH","0.14911463187325255%","19.422180801491145%","80.4287045666356%","53.59239586245457%","42.9316932252353%","3.4759109123101295%","29.552656104380244%","59.08667287977633%","11.36067101584343%","18.212321744803802%","40.13421567713673%","41.65346257805947%","1.5116724071947953%","98.4883275928052%","10.492964309011276%","89.32065977075762%","0.18637592023110613%"
"JHARSUGUDA","0.0457351932311914%","7.729247656071347%","92.22501715069747%","74.09101303453006%","17.21930025154356%","8.689686713926367%","68.69426023324948%","29.933683969814773%","1.372055796935742%","42.60233249485479%","24.125314429453464%","33.27235307569175%","0.8005489478499542%","99.19945105215004%","83.80974159615825%","16.144523210610565%","0.0457351932311914%"
"JAGATSINGHAPUR","0.054897655085875616%","18.26523409928633%","81.67986824562779%","85.50701905732883%","13.951846913967533%","0.5411340287036311%","5.411340287036311%","61.524586306956316%","33.064073406007374%","1.9920006274017723%","63.46953180142734%","34.53846757117089%","0.09411764705882353%","99.90588235294118%","42.79664340051761%","57.19551407732727%","0.007842522155125087%"
