"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"KAPURTHALA","0%","0%","100%","28.271773825809394%","5.107159142726858%","66.62106703146375%","1.4571948998178506%","16.848816029143897%","81.69398907103825%","21.144278606965173%","35.385572139303484%","43.47014925373134%","0.2484472049689441%","99.75155279503106%","0.4975124378109453%","97.69900497512438%","1.8034825870646767%"
"BATHINDA","0.160926939169617%","28.41969745735436%","71.41937560347603%","27.061649319455565%","22.077662129703764%","50.86068855084067%","0.2401921537229784%","24.179343474779824%","75.5804643714972%","11.05105105105105%","46.886886886886884%","42.06206206206206%","8.78878878878879%","91.21121121121121%","0.120312813314618%","85.0411068778825%","14.838580308802888%"
"AMRITSAR","0%","0%","100%","17.207665232694563%","18.850215095815408%","63.942119671490026%","16.325757575757574%","28.257575757575758%","55.416666666666664%","0.446853013880966%","59.52652595550485%","40.02662103061419%","0.038030043734550295%","99.96196995626545%","0%","98.44298870217412%","1.5570112978258805%"
"RUPNAGAR","0%","0%","100%","23.054755043227665%","19.020172910662826%","57.92507204610951%","0%","0.5747126436781609%","99.42528735632185%","1.3753702920016928%","36.45789250952179%","62.16673719847651%","0.12012012012012012%","99.87987987987988%","0%","99.91996798719488%","0.08003201280512205%"
"MOGA","0%","0%","0%","45.755028803475305%","17.89592973840778%","36.349041458116915%","54.11275852299556%","30.078383227877985%","15.808858249126452%","40.36264047596563%","30.437246198885635%","29.200113325148738%","41.50533572575314%","58.49466427424686%","0%","57.22920011332515%","42.77079988667485%"
"SANGRUR","0%","0%","100%","21.745454545454546%","56.36969696969697%","21.884848484848487%","11.381818181818181%","19.096969696969698%","69.52121212121212%","11.80547112462006%","64.13981762917933%","24.054711246200608%","0.006060606060606061%","99.9939393939394%","0.3090909090909091%","95.22424242424242%","4.466666666666667%"
"FATEHGARH SAHIB","0%","0%","100%","31.08272506082725%","14.111922141119221%","54.805352798053526%","0.060790273556231005%","56.41337386018237%","43.525835866261396%","0.01669449081803005%","22.220367278797998%","77.76293823038397%","0.016688918558077435%","99.98331108144193%","0.21666666666666667%","99.78333333333333%","0%"
"FARIDKOT","0%","0%","0%","63.50931677018634%","27.841614906832298%","8.649068322981366%","22.53105590062112%","48.43167701863354%","29.03726708074534%","52.8808821245535%","30.51716104985246%","16.601956825594037%","24.751552795031056%","75.24844720496894%","14.627329192546584%","80.8695652173913%","4.503105590062112%"
"Tarn Taran","0%","0.02439321868520551%","99.9756067813148%","22.703428083445164%","33.731853116994024%","43.564718799560815%","2.355407571833765%","21.395979775558022%","76.24861265260822%","5.722303562713519%","60.151293313811614%","34.126403123474866%","0.89111328125%","99.10888671875%","0.8916575058018811%","91.64529131550019%","7.463051178697936%"
"S.A.S Nagar","0%","0%","0%","0.41237113402061853%","14.02061855670103%","85.56701030927834%","0.205761316872428%","0%","99.79423868312757%","0%","0%","0%","0%","0%","0%","0%","0%"
"GURDASPUR","0%","0%","0%","0%","0%","100%","0%","0%","100%","0%","100%","0%","0%","100%","0%","95.2%","4.8%"
"PATIALA","0%","0%","100%","17.792578496669837%","67.79257849666983%","14.414843006660323%","0.06711409395973154%","18.322147651006713%","81.61073825503355%","35.186794092093834%","17.89748045178106%","46.91572545612511%","0.39113428943937417%","99.60886571056062%","0.2175805047867711%","94.8651000870322%","4.917319408181027%"
"JALANDHAR","0%","0%","0%","44.02935290193462%","22.881921280853902%","33.088725817211476%","0%","12.274849899933288%","87.72515010006671%","0.13404825737265416%","9.517426273458446%","90.3485254691689%","0%","100%","0.06680026720106881%","99.93319973279893%","0%"
"FEROZEPUR","0%","0%","0%","27.417874839420076%","46.55900165167921%","26.023123508900717%","28.64745824922004%","47.86199302624335%","23.490548724536612%","35.18076711323179%","49.073224444852265%","15.746008441915947%","0.09175995595522114%","99.90824004404477%","0%","88.97045329418242%","11.029546705817582%"
"MALERKOTLA","0%","0%","0%","42.25714285714286%","46.142857142857146%","11.6%","0.08571428571428572%","0.5142857142857142%","99.4%","13.257142857142858%","64.57142857142857%","22.17142857142857%","0%","100%","0%","99.97142857142858%","0.02857142857142857%"
"FAZILKA","0%","0%","0%","0.27223230490018147%","3.0852994555353903%","96.64246823956442%","0.09074410163339383%","1.1796733212341197%","98.72958257713249%","7.3502722323049%","46.27949183303085%","46.370235934664244%","7.985480943738657%","92.01451905626135%","0.09074410163339383%","96.18874773139746%","3.720508166969147%"
"BARNALA","0%","0%","0%","0%","0.34453057708871665%","99.65546942291128%","7.091587711742751%","35.51536032156187%","57.393051966695374%","0.08613264427217916%","13.092161929371231%","86.82170542635659%","0%","100%","0%","88.68791271892047%","11.31208728107953%"
"LUDHIANA","0%","0%","0%","0%","0%","100%","0.9162303664921466%","38.089005235602095%","60.99476439790576%","15.575916230366492%","66.2303664921466%","18.19371727748691%","0%","100%","0%","100%","0%"
"MANSA","0%","0%","0%","100%","0%","0%","0%","0%","100%","37.06563706563706%","44.4015444015444%","18.53281853281853%","0%","100%","0%","74.9034749034749%","25.096525096525095%"
