"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"CHURU","0%","0%","0%","0.09604470444425041%","29.64288832620274%","70.26106696935301%","9.819324430479183%","89.37767303831718%","0.803002531203631%","0.06109801867853714%","2.0075063280090775%","97.93139565331238%","1.6321899275552065%","98.3678100724448%","0.026187150837988827%","98.99615921787709%","0.9776536312849162%"
"ALWAR","0%","5.555555555555555%","94.44444444444444%","80.2088772845953%","19.613577023498696%","0.17754569190600522%","13.337507827175955%","69.29659778751827%","17.365894385305783%","2.7809722948248825%","9.785676947203346%","87.43335075797177%","31.480318257956448%","68.51968174204355%","0.052720371151412905%","94.99156474061577%","4.955714888232813%"
"SIKAR","0%","0%","100%","88.85123686885801%","10.719530102790015%","0.4292330283519711%","88.74619803987834%","10.949645150388644%","0.3041568097330179%","1.2070143475290367%","5.921202459576406%","92.87178319289455%","8.242326704218875%","91.75767329578112%","0.023405500292568753%","96.94558221181978%","3.0310122878876538%"
"AJMER","0%","0%","100%","64.63509316770187%","35.22256728778468%","0.14233954451345757%","44.40274362624563%","55.545489840817915%","0.05176653293645658%","0.03881987577639751%","0.15527950310559005%","99.80590062111801%","12.475734437686036%","87.52426556231396%","0.025879917184265012%","83.54037267080746%","16.43374741200828%"
"UDAIPUR","0%","0%","0%","43.799267236593764%","53.50283113134229%","2.6979016320639504%","4.007993782613523%","30.28755412456978%","65.7044520928167%","13.710035523978686%","52.708703374777976%","33.58126110124334%","0.022202486678507993%","99.97779751332149%","0%","96.79174067495559%","3.208259325044405%"
"JHUNJHUNU","0%","0%","0%","86.65570062712038%","13.262054076282512%","0.08224529659710085%","50.23131489667934%","47.29104554333299%","2.4776395599876633%","0.15422578655151142%","0.5860579888957433%","99.25971622455275%","1.4704370179948587%","98.52956298200515%","0.030848329048843187%","85.65552699228792%","14.313624678663238%"
"BARAN","0%","0%","100%","81.54867256637168%","17.654867256637168%","0.7964601769911505%","58.45745465270609%","40.15631912697242%","1.3862262203214866%","11.821417976861465%","39.52832987244141%","48.65025215069712%","3.8711583924349884%","96.12884160756501%","0.05916284573287975%","99.8520928856678%","0.08874426859931962%"
"KOTA","0%","0%","100%","76.85851318944844%","23.107228502911955%","0.0342583076396026%","79.83912373780592%","19.78435735067602%","0.3765189115180558%","1.9006849315068493%","41.54109589041096%","56.55821917808219%","7.6909900650907845%","92.30900993490921%","0.05150214592274678%","99.55364806866953%","0.3948497854077253%"
"BHILWARA","0%","0%","0%","50.56689342403628%","37.131519274376416%","12.301587301587302%","99.62214245229548%","0.3778575477045154%","0%","23.34593572778828%","21.73913043478261%","54.91493383742911%","29.124929124929125%","70.87507087507088%","0%","88.88678888678889%","11.113211113211113%"
"Jodhpur Gramin","0%","0%","100%","77.75823071123398%","21.713998492083437%","0.5277707966825835%","46.866758759261586%","52.882079618234336%","0.25116162250408136%","0.4023133014835303%","0.2388735227558461%","99.35881317576063%","7.849056603773585%","92.15094339622641%","0.01258019876714052%","60.56107686501447%","39.42634293621839%"
