"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"RANGA REDDY","0.08006405124099279%","26.92820923405391%","72.9917267147051%","62.156391780090736%","33.7336535895383%","4.1099546303709635%","12.062983720309582%","56.71203629570323%","31.22497998398719%","10.369774919614148%","59.19078242229368%","30.439442658092176%","0.5871363757672805%","99.41286362423271%","13.991989319092124%","85.5807743658211%","0.4272363150867824%"
"BHADRADRI KOTHAGUDEM","0.026609898882384245%","3.565726450239489%","96.40766365087812%","81.51104017025804%","10.45490822027135%","8.034051609470604%","37.297153498270816%","43.17637669592977%","19.526469805799415%","8.997050147492626%","24.37315634218289%","66.62979351032449%","0.34638955502264857%","99.65361044497735%","0.21350413664264745%","93.38137176407793%","6.405124099279424%"
"KUMURAM BHEEM ASIFABAD","0%","70.04297114794352%","29.957028852056478%","86.51524452629425%","13.48475547370575%","0%","42.500511561285045%","31.512175158583997%","25.98731328013096%","37.67137303048905%","25.250665029670554%","37.07796193984039%","0%","100%","0%","100%","0%"
"PEDDAPALLI","0%","0%","100%","97.62662099339369%","2.3489111817959385%","0.024467824810374357%","46.17078541717641%","52.899437240029364%","0.9297773427942256%","39.270858820650844%","41.32615610472229%","19.402985074626866%","0.24473813020068527%","99.75526186979931%","1.8595546855884513%","98.11597748960118%","0.024467824810374357%"
"KHAMMAM","0.013142331449599158%","9.436193980812195%","90.55066368773821%","94.82192140885793%","4.994085950847681%","0.18399264029438822%","77.73689052437902%","20.370613746878696%","1.8924957287422788%","0.27598896044158233%","20.659745038769877%","79.06426600078854%","0%","100%","0.013142331449599158%","82.52069917203312%","17.46615849651728%"
"ADILABAD","14.005001786352269%","37.51339764201501%","48.481600571632725%","88.03143979992855%","11.093247588424438%","0.8753126116470168%","64.2308379489012%","25.46006789351438%","10.30909415758442%","33.1546981064666%","19.292604501607716%","47.55269739192569%","0.30367988567345483%","99.69632011432654%","0%","98.73146328390209%","1.2685367160979095%"
"NALGONDA","0.13449899125756556%","28.143913920645595%","71.72158708809684%","90.41694687289845%","9.17955615332885%","0.4034969737726967%","24.848688634835238%","41.32481506388702%","33.82649630127774%","3.093476798924008%","26.630800268997984%","70.27572293207801%","0.9414929388029589%","99.05850706119705%","0%","93.00605245460659%","6.99394754539341%"
"WARANGAL","2.2133220910623947%","11.467116357504215%","86.3195615514334%","89.90090659919882%","9.846088973223699%","0.2530044275774826%","73.3291165928737%","21.695129664769134%","4.975753742357158%","12.29957805907173%","19.936708860759495%","67.76371308016877%","0.08451299387280795%","99.9154870061272%","0.4012671594508976%","99.21858500527983%","0.3801478352692714%"
"YADADRI BHUVANAGIRI","0%","24.86275337837838%","75.13724662162163%","93.37909186906019%","6.4730728616684265%","0.14783526927138332%","3.980152027027027%","27.808277027027028%","68.21157094594595%","6.535050675675675%","19.35177364864865%","74.11317567567568%","0.0633445945945946%","99.9366554054054%","0%","79.99366554054055%","20.00633445945946%"
"MEDAK","0%","0.3546099290780142%","99.64539007092199%","89.00709219858156%","6.73758865248227%","4.25531914893617%","75.27862208713273%","23.15096251266464%","1.5704154002026343%","63.67781155015197%","19.50354609929078%","16.818642350557244%","0%","100%","2.735562310030395%","97.16312056737588%","0.10131712259371833%"
"Nirmal","0.8395522388059702%","3.264925373134328%","95.8955223880597%","93.83177570093459%","5.794392523364486%","0.37383177570093457%","3.264925373134328%","76.86567164179104%","19.869402985074625%","36.919642857142854%","30.848214285714285%","32.232142857142854%","47.206079570853824%","52.793920429146176%","6.453068592057762%","92.55415162454874%","0.9927797833935018%"
