"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"UDAM SINGH NAGAR","0.04869339392955689%","4.349943191040415%","95.60136341503002%","48.457181503085636%","43.14819511370361%","8.394623383210753%","11.550485847063793%","56.22306717363752%","32.22644697929869%","0.9144018288036576%","31.699263398526796%","67.38633477266954%","58.58851471710917%","41.41148528289083%","0.21251275076504592%","99.70248214892894%","0.08500510030601836%"
"RUDRA PRAYAG","0%","0%","100%","12.571428571428571%","86%","1.4285714285714286%","52.114285714285714%","45.857142857142854%","2.0285714285714285%","91.37142857142857%","7.571428571428571%","1.0571428571428572%","2.857142857142857%","97.14285714285714%","2%","98%","0%"
"HARIDWAR","0.03499562554680665%","4.181977252843395%","95.7830271216098%","34.46825555778089%","51.14159823753255%","14.39014620468656%","25.85517103420684%","59.141828365673135%","15.003000600120023%","4.900980196039208%","43.87877575515103%","51.22024404880976%","4.11041104110411%","95.88958895889589%","0.09001800360072014%","99.76995399079816%","0.14002800560112022%"
"DEHRADUN","0.9814733127481253%","20.103661226290253%","78.91486546096162%","61.3255033557047%","27.75796979865772%","10.916526845637584%","6.2067519396099815%","64.80394212623192%","28.989305934158104%","67.45065098698026%","28.937421251574968%","3.611927761444771%","0.06313795643481006%","99.93686204356518%","0.21126016689553184%","99.76761381641491%","0.021126016689553186%"
"PITHORAGARH","0%","1.3285714285714285%","98.67142857142858%","2.0145735105015%","64.2520360051436%","33.733390484354906%","22.62857142857143%","54.08571428571429%","23.285714285714285%","83.61452673720332%","11.71003717472119%","4.675436088075493%","0.05714285714285714%","99.94285714285714%","21.142857142857142%","78.84285714285714%","0.014285714285714285%"
"PAURI GARHWAL","0.25839793281653745%","11.667660504869808%","88.07394156231365%","28.680555555555557%","20.109126984126984%","51.21031746031746%","15.575396825396826%","33.76984126984127%","50.654761904761905%","44.60103215561731%","31.699086939261612%","23.69988090512108%","3.0691299165673422%","96.93087008343265%","3.1047865459249677%","96.8454572594288%","0.04975619464623346%"
"UTTAR KASHI","0.2324333988914715%","0.017879492222420884%","99.7496871088861%","8.668420393335838%","69.47262933734186%","21.85895026932231%","5.267767767767768%","75.76326326326327%","18.96896896896897%","63.67285499247366%","29.377822378324133%","6.949322629202208%","0.07544322897019992%","99.9245567710298%","9.918084436042848%","90.01890359168242%","0.0630119722747322%"
"TEHRI GARHWAL","0%","0%","0%","61.82198952879581%","30.513089005235603%","7.664921465968586%","41.01570680628272%","54.58638743455497%","4.397905759162303%","65.72774869109948%","30.167539267015705%","4.104712041884817%","0.36649214659685864%","99.63350785340315%","0.05235602094240838%","99.89528795811518%","0.05235602094240838%"
"NAINITAL","0.4904632152588556%","12.534059945504087%","86.97547683923706%","30.496360026472534%","61.17802779616148%","8.325612177365983%","29.773719730051607%","59.79886198226809%","10.427418287680297%","88.17518248175182%","7.073656270736563%","4.751161247511613%","0.5469583778014941%","99.45304162219851%","5.217157455963426%","94.60804087669759%","0.17480166733898078%"
"ALMORA","0.052576235541535225%","8.543638275499474%","91.40378548895899%","59.65367965367965%","26.30952380952381%","14.036796536796537%","60.38778162911612%","20.753899480069325%","18.85831889081456%","75.08931471256902%","11.010068203962325%","13.900617083468658%","0.3682842287694974%","99.6317157712305%","0.5853658536585366%","99.03523035230353%","0.3794037940379404%"
"BAGESHWAR","0.05324813631522897%","16.16080937167199%","83.78594249201278%","20.075%","60.3%","19.625%","41.45%","48.025%","10.525%","75.24381095273819%","20.830207551887973%","3.9259814953738434%","0.25006251562890724%","99.74993748437109%","0.5252626313156579%","99.47473736868434%","0%"
"CHAMPAWAT","0%","5%","95%","55.8%","36.925%","7.275%","44.4%","55.3%","0.3%","96.59914978744686%","2.8757189297324333%","0.5251312828207052%","0.05002501250625312%","99.94997498749375%","8.72836719337848%","91.24655129169801%","0.02508151492350138%"
"CHAMOLI","0.019801980198019802%","2.732673267326733%","97.24752475247524%","65.33858506286926%","26.35964247841236%","8.301772458718377%","19.042569307680655%","74.04938645659749%","6.90804423572186%","56.967399545109934%","39.454131918119785%","3.5784685367702807%","0.39489671931956255%","99.60510328068044%","0.12169151201703682%","99.75661697596593%","0.12169151201703682%"
