"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"DARJEELING","2.112676056338028%","88.87809616318602%","9.009227780475959%","35.09772975597912%","26.63591113269394%","38.26635911132694%","19.121039213305814%","77.10331431346364%","3.775646473230545%","92.05442838051269%","7.775482930385129%","0.1700886891021747%","0.012163970319912419%","99.98783602968008%","54.396005845104725%","45.59181685338529%","0.012177301509985387%"
"MEDINIPUR EAST","7.5365761485720455%","88.39280894023646%","4.070614911191492%","68.4932246396372%","29.973546401770772%","1.5332289585920207%","21.550421075361694%","74.2874109263658%","4.162167998272511%","69.52648345121753%","26.85060201932941%","3.622914529453053%","0.5292433979586326%","99.47075660204136%","21.827219190664%","78.07553082284294%","0.09724998649305742%"
"MURSHIDABAD","0.42019293365686217%","32.56495235840682%","67.01485470793632%","87.47115555292586%","12.345423347730904%","0.18342109934323414%","7.788788640733619%","88.84484543706553%","3.366365922200858%","2.695896904162346%","47.489260850244406%","49.81484224559325%","0.0385253674727359%","99.96147463252727%","4.271804310396011%","95.57976607492726%","0.1484296146767203%"
"PURULIA","0.07095343680709534%","45.97782705099778%","53.951219512195124%","97.08540042523033%","2.86144578313253%","0.05315379163713678%","38.92035398230089%","60.94690265486726%","0.13274336283185842%","4.116653329776829%","41.94007290833111%","53.94327376189206%","0.09826692871180989%","99.90173307128819%","0.37851478010093725%","99.59444844989186%","0.027036770007209804%"
"NADIA","0.04179029629320072%","1.8387730369008317%","98.11943666680597%","49.95196926032661%","49.60948920352504%","0.43854153614835234%","35.68475128430021%","58.49308775007309%","5.822160965626697%","22.75444096133751%","37.6760710553814%","39.569487983281086%","0.8532708716747532%","99.14672912832525%","0.33477005481859645%","99.51876804619826%","0.14646189898313597%"
"PURBA BARDHAMAN","0.06949270326615706%","38.70743571924948%","61.22307157748436%","87.21386527141922%","11.858240680183126%","0.9278940483976456%","37.48773708306082%","48.961739699149774%","13.550523217789404%","7.836324244777828%","76.97747618852962%","15.186199566692556%","0.06545573555882835%","99.93454426444117%","26.528942524033546%","73.43424013090612%","0.03681734506033954%"
"MEDINIPUR WEST","4.413502543287263%","20.747058521296818%","74.83943893541591%","39.40654037681606%","43.816417680579086%","16.777041942604857%","50.67699251205252%","43.404451738639864%","5.918555749307622%","47.91463101054256%","37.207508356904086%","14.877860632553356%","5.3433542674765775%","94.65664573252342%","69.80208225956088%","30.18760952479126%","0.010308215647871353%"
"HOOGHLY","1.6130175836642087%","73.64222915484969%","24.744753261486103%","98.82665721375399%","1.162708259482453%","0.010634526763559022%","69.34774902516838%","27.419354838709676%","3.2328961361219424%","25.305775162193783%","50.15067181905201%","24.54355301875421%","1.935826981031732%","98.06417301896826%","35.84551000141864%","64.00553269967371%","0.14895729890764647%"
"Jhargram","29.81092981092981%","59.8031598031598%","10.385910385910385%","97.37114737114737%","2.602952602952603%","0.0259000259000259%","28.506670120450718%","63.618702240642406%","7.874627638906877%","58.706918890904376%","31.601451153148485%","9.691629955947137%","0.051826898160145116%","99.94817310183986%","61.46265560165975%","38.53734439834025%","0%"
"24 PARAGANAS NORTH","0.7363888777111585%","69.3493219588749%","29.914289163413947%","92.99650026147472%","6.174826018745726%","0.8286737197795567%","35.87030854016654%","55.5211392252303%","8.608552234603161%","59.72462659527356%","31.184830307178228%","9.09054309754821%","17.598936084468445%","82.40106391553155%","3.5614778921865535%","96.3900666262871%","0.04845548152634767%"
"PASCHIM BARDHAMAN","0%","33.21877349371711%","66.78122650628289%","29.32774914089347%","49.93556701030928%","20.736683848797252%","21.724656357388316%","39.04639175257732%","39.22895189003437%","5.543022881082823%","61.39220109571382%","33.06477602320335%","0.021505376344086023%","99.97849462365592%","20.994950037606102%","78.73643494144193%","0.26861502095197165%"
"COOCHBEHAR","0.03274394237066143%","40.460598122680636%","59.5066579349487%","94.20621931260229%","4.811783960720131%","0.9819967266775778%","19.480802792321118%","35.296684118673646%","45.22251308900523%","41.14560559685177%","34.57586357673809%","24.278530826410144%","3.6461184714770614%","96.35388152852293%","62.65655899802241%","37.299494616567785%","0.043946385409800046%"
"Alipurduar","0.04934007647711854%","34.4023683236709%","65.54829159985198%","92.72413367862869%","5.5000616598840795%","1.7758046614872365%","11.36727900382197%","27.9003821970164%","60.73233879916163%","35.0296442687747%","41.97134387351779%","22.99901185770751%","0.6253908692933083%","99.37460913070669%","59.263849299789314%","40.71136448134837%","0.024786218862312553%"
"DINAJPUR DAKSHIN","1.6293504766127245%","66.603857237863%","31.766792285524275%","41.881857475340794%","30.66607558461709%","27.452066940042116%","31.35320846725036%","55.67992907015405%","12.96686246259559%","13.140385894876912%","55.322687957418495%","31.53692614770459%","0.44365572315882873%","99.55634427684117%","51.381338067236214%","48.618661932763786%","0%"
