District,N,P,K,pH
SOUTH ANDAMANS,38.2,36.07,37.13,6.71
NORTH AND MIDDLE ANDAMAN,39.26,36.67,39.09,6.56
NICOBARS,37.06,35.17,35.44,6.78
EAST GODAVARI,40.41,42.71,54.06,6.8
SRIKAKULAM,40.22,71.78,91.42,6.79
Eluru,33.57,86.85,70.36,6.79
ANANTAPUR,35.29,91.2,87.74,6.81
Parvathipuram Manyam,43.33,83.92,61.58,6.8
VIZIANAGARAM,35.43,86.95,92.64,6.8
NTR,35.33,66.32,82.44,7.5
Bapatla,39.28,57.42,93.71,6.82
GUNTUR,37.13,96.47,92.69,6.88
WEST GODAVARI,43.45,74.01,80.5,6.79
SPSR NELLORE,33.82,86.37,63.09,6.85
Y.S.R.,34.69,78.5,96.09,6.99
Annamayya,34.84,74.99,78.22,6.85
Palnadu,48.15,65.45,89.29,6.88
Sri Sathya Sai,35.59,91.36,85.28,6.8
KURNOOL,61.22,67.15,92.45,6.89
PRAKASAM,34.09,87.93,93.18,7.03
Tirupati,44.05,77.84,70.12,6.79
VISAKHAPATANAM,48.24,78.43,56.01,6.83
Kakinada,53.84,82.04,84.99,6.76
Konaseema,52.46,84.27,87.39,6.77
CHITTOOR,44.56,77.19,70.77,6.85
Anakapalli,54.24,92.84,76.69,6.83
Alluri Sitharama Raju,54.71,77.74,55.38,6.84
Nandyal,52.4,78.67,95.3,7.03
KRISHNA,57.47,76.63,97.59,6.82
NAMSAI,50.01,77.99,59.74,6.36
KURUNG KUMEY,66.44,66.45,66.4,6.54
KRA DAADI,66.59,66.68,65.84,6.61
PAPUM PARE,66.56,66.67,66.36,6.59
PAKKE KESSANG,72.83,61.28,84.71,5.89
EAST SIANG,93.31,74.69,65.25,5.78
SIANG,91.47,83.26,67.04,5.74
EAST KAMENG,75.72,63.0,85.72,6.05
LOWER SIANG,89.86,78.71,63.97,5.69
LOWER DIBANG VALLEY,60.67,53.9,56.59,5.96
LEPARADA,66.64,66.67,66.47,6.56
WEST SIANG,66.59,66.67,66.21,6.6
LONGDING,71.72,66.67,85.87,5.57
ANJAW,64.89,81.49,50.54,6.43
UPPER SIANG,54.38,59.96,58.32,6.57
SHI YOMI,51.73,59.81,57.02,6.33
LOHIT,60.0,73.13,42.75,6.29
TIRAP,72.62,66.68,85.57,5.59
WEST KAMENG,57.04,72.32,54.96,5.68
UPPER SUBANSIRI,66.53,66.61,66.39,6.57
LOWER SUBANSIRI,72.15,99.71,58.68,6.53
KAMLE,69.37,99.79,53.95,6.27
CHANGLANG,64.86,73.57,61.4,5.95
DIBANG VALLEY,62.17,59.02,46.23,6.04
TAWANG,66.65,66.69,66.67,5.6
DHUBRI,74.89,71.58,55.05,6.58
NAGAON,72.79,81.05,56.73,6.64
SONITPUR,87.26,84.84,56.82,5.75
UDALGURI,76.67,93.69,58.21,6.14
MARIGAON,83.04,88.48,56.42,6.46
KARBI ANGLONG,74.33,71.8,59.26,6.49
BONGAIGAON,79.76,75.4,53.38,6.58
Biswanath,82.88,80.06,52.2,5.83
HAILAKANDI,82.03,87.33,65.25,6.07
BARPETA,85.65,91.46,58.79,6.13
DIMA HASAO,91.46,89.07,67.94,6.17
TAMULPUR,78.67,88.91,59.1,6.25
DARRANG,81.57,89.98,57.1,6.35
CACHAR,83.82,79.64,60.6,5.96
DHEMAJI,81.68,84.88,53.06,5.84
SOUTH SALMARA MANCACHAR,74.1,63.44,47.59,6.54
BAKSA,76.01,76.58,52.47,5.96
GOALPARA,78.82,77.73,52.38,6.19
WEST KARBI ANGLONG,73.95,72.04,60.93,5.89
NALBARI,83.94,83.68,59.31,6.4
GOLAGHAT,76.92,78.43,53.77,6.44
HOJAI,77.12,79.67,56.92,6.45
KARIMGANJ,81.82,76.89,66.4,6.3
JORHAT,80.62,73.07,49.78,6.43
KAMRUP,87.09,79.61,61.12,6.36
LAKHIMPUR,81.47,90.04,51.45,6.05
DIBRUGARH,79.51,80.63,56.52,6.16
KOKRAJHAR,76.44,90.8,52.03,6.24
KAMRUP METRO,72.76,83.14,53.96,6.66
